"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"[148] Abul-Mudhfar Hanaad bin Ibraaheem An-Nasafee informed us, saying: Muhammad bin Ahmad bin Muhammad bin Sulaymaan, the Haafidh in Bukhaaraa, informed us, saying: I heard Abu Saalih Khalf bin Muhammad say: I heard Abu Bakr bin 'Abdillaah bin Ja'far, i.e. the tradesman, say: I heard Ahmad bin Hanbal say when he was asked about a man that writes ahaadeeth and records many of them:","148 - ___________ _____ ____________ ________ ____ ____________ _____________ _____: _____ _________ ____ ________ ____ _________ ____ ___________ ___________ ___________ _____: ________ _____ _______ ______ ____ __________ _______: ________ _____ ______ ____ ______ _______ ____ ________ _______ ___________ _______: ________ ________ ____ _________ «________ ____ ______ ________ __________ __________» _ _____:"
"""He is required to produce many deeds due to them, in accordance with how much he has accumulated of them (i.e. the ahaadeeth).""
Then he said: ""The outcomes of knowledge are the same as the outcomes of wealth. When wealth increases, the Zakaat that is due for it also increases.""","“_________ ____ ________ _________ ____ _____ ______ ___________ ___ __________ _____ _____: _______ _________ ______ _______ _________ _____ ________ _____ _____ _______ _________"""
"[149] Muhammad bin Al-Husayn bin Al-Fadl Al-Qattaan informed us, saying: DiTaj bin Ahmad reported to us, saying: Ahmad bin 'Alee Al-Abaar reported to us: Abu 'Ammaar Al-Husayn bin Huraith narrated to us: Wakee' bin Al-Jarraah narrated to us that Ibraaheem bin Ismaa'eel bin Majma' said:","149 - ___________ _________ ____ ___________ ____ _________ ____________ _____: ________ ________ ____ _________ _____ ____ ________ ____ _______ ____________ ___ _____ ________ ___________ ____ _________ ___ _______ ____ ____________ ____ ____________ ____ ____________ ____ __________ _____:"
"""We would seek assistance in memorizing hadeeth by acting upon them.""",«______ ___________ _____ ______ __________ ___________ ____»
Those who Disliked Learning Grammar (Nahu) Due to what that Breeds from Arrogance and Pride,"_____ ____ ______ _________ _________ _____ ________ ____ _____________ ___________"
"[150] Abu Nu'aim, the Haafidh, informed us: Abu Bakr Muhammad bin 'Abdillaah Al-Fat'h Al-Hanbalee narrated to us: 'Abdullaah bin Abee Dawood narrated to us: Katheer bin 'Ubayd narrated to us: Al-Waleed bin Muslim narrated to us from Ad- Dahaak bin Abee Haushab who said: I heard Al-Qaasim bin Mukhaimirah say:
""Learning Grammar starts out as a distraction and ends up a transgression.""","150 - ___________ _____ ________ ___________ _____: ___ _____ ______ _________ ____ _________ _______________ ___ ______ _______ ____ _____ ________ ___ _______ ____ _________ ___ __________ ____ _________ ____ ___________ ____ _____ _________ _____: ________ __________ ____ _____________ _______: «_________ _________ _________ ______ _________ ______»"
"[151] 'Abdullaah bin 'Umar bin Ahmad, the Admonisher, informed us, saying: My father narrated to us: Muhammad bin Al-'Abbaas bin Shajaa' narrated to us: Ayoob bin Sulaymaan narrated to us: 'Abdul-Hameed bin Ibraaheem, Abu Taqee, narrated to us: Salamah bin Kulthoom narrated to us, saying: I heard Ibraaheem bin Adham report from Maalik bin Deenaar that he said:","151 - ___________ ______ _______ ____ ______ ____ ________ ___________ ___ ______ ___ _________ ____ ___________ ____ ________ ___ ________ ____ ____________ ___ ______ __________ ____ ____________ _____ ________ ___ ________ ____ __________ _____: ________ ____________ ____ _________ ____ _______ ____ _________ _____:"
"""A man would be encountered and he would not make (grammatical) mistakes with even one letter, yet his actions would all be full of mistakes.""","«_______ _________ _____ ________ ________ __________ ______ _______»"
"[152] Abul-Qaasim Al-Azharee narrated to me: Muhammad bin Al-'Abbaas Al- Kharraaz narrated to us: Ibn Abee Dawood narrated to us: 'Abdullaah bin Khubaiq narrated to us, saying: I heard a shaikh from the people of Damascus say: Ibraaheem bin Adham said:","152 - __________ _____ __________ _______________ ___ _________ ____ ___________ ____________ ___ _____ _____ ________ _____: ___ ______ _______ ____ _________ _____: ________ ________ ____ ______ ________ _______: _____ ____________ ____ _________"
"""We would apply our words perfectly, thus not making any errors (in speech). However we would make severe errors in our actions, thus not applying them perfectly.""",«___________ ___ __________ _____ ________ __________ ___ ____________ _____ ________»
"[153] Abul-Hasan 'Alee bin Ayoob Al-Qummee informed me, saying: Abu 'Ubaydillaah Muhammad bin 'Imraan Al-Marzabaanee informed us: As-Soolee informed us, saying: Some of the ascetics (zuhhaad) informed us, saying:","153 - ___________ _____ _________ _______ ____ ________ ____________ _____: ________ _____ ______ _______ _________ ____ _________ __________________ _____: ___________ ___________: _____ _______ ___________:«"
"”We have not been given ignorance, however 
We cover the face of knowledge with ignorance
We hate to make (grammatical) errors in our speech
Yet we do not care about making errors in our actions.”","[_____ ______]
____ ______ ____ ______ ____________ ... ________ ______ _________ ___________
________ ____ ________ ___ _________ ... _____ ________ _________ ___ _________»"
"[154] 'Abdullaah bin 'Umar, the Admonisher, informed us, saying: My father narrated to me: 'Abdullaah bin Muhammad narrated to us: Nasr bin 'Alee Al-Jahdamee narrated to us, saying: Muhammad bin Khalid narrated to us: 'Alee bin Naasir, i.e. his father, narrated to me, saying:","154 - ___________ ________ _______ ____ ______ ___________ _____: __________ ______ ___ ______ _______ ____ __________ ___ ______ ____ _______ _______________ _____: __________ _________ ____ ________ _____: __________ _______ ____ _______ _______ ________ _____:"
"""I saw Al-Khaleel bin Ahmad during my sleep, so I said in my dream: 'I don't hold anyone to be more intelligent than Al-Khaleel.' Then I said (to him): 'What did Allaah do to you?' He said: 'Did you consider what we were upon (from language and grammar)? Indeed, there is nothing better than (saying): SubhaanAllaah, Al- Hamdulillaah, Laa Ilaaha IllaaAllaah, and Allaahu Akbar.'""","“________ __________ ____ ________ ___ _________ ________ ___ ________: ___ _____ _______ ________ ____ __________: ________: ___ ______ _______ _____ _____: __________ ___ ______ _____ _________ ____ ______ ______ ________ ____: _________ ________ ___________ ________ _____ ______ ______ ________ _________ ________"""
"[155] Abu Bakr Ahmad bin Al-Mubaarak bin Ahmad Al-Buraathee informed us: 'Alee bin Muhammad bin Moosaa At-Timaar narrated to us in Basrah, saying: Abu 'Eesaa Jubair bin Muhammad narrated to us: Ahmad bin 'Abdillaah At-Tirmidhee narrated to us, saying: I heard Nasr bin 'Alee say: I heard my father say:","155 - ___________ _____ ______ ________ ____ ____________ ____ ________ _____________ [_:93]_ ___ _______ ____ _________ ____ ______ ____________ ______________ ___ _____ ______ ________ ____ __________ ___ ________ ____ ______ _______ _______________ _____: ________ ______ ____ ________ _______: ________ ______ _______:"
"""I saw Al-Khaleel bin Ahmad in a dream, so I said to him: 'What did your Lord do to you?' He said: 'He forgave me.' I said: 'What were you saved by?' He said: 'By Laa Hawla wa Laa Quwata Illaa Billaahil-'Alee-il-'Adheem.'67 I said: 'Did you find your knowledge to be of any help?' [I meant by this the knowledge of prose, literature and poetry] He said: 'I found it to be like scattered particles of dust.'""","“________ __________ ____ ________ ___ __________ ________: _____ ___ ______ ____ ________ _____: ______ ____ ______: ____ _________ _____: _____ ______ _____ _______ ______ _________ __________ ___________ ______: ______ ________ ________ ________ ___________ ____________ ____________ _____: __________ _______ __________"""
"[156] Al-Hasan Muhammad bin Al-Mudhfar bin 'Abdillaah As-Siraaj recited to us, saying: Abu Bakr Ahmad bin Salmaan bin Al-Hasan An-Najaad, the Faqeeh, recited to us, saying: Hilaal bin Al-'Alaa Al-Baahilee recited to us the following poetic verses from himself:","156 - ___________ _____ _________ _________ ____ ____________ ____ ______ _______ ____________ _____: ___________ _____ ______ ________ ____ _________ ____ _________ ___________ ___________ _____: ___________ _______ ____ __________ ______________ __________: «"
"""A tongue that would speak without grammatical mistakes will soon pass away
It is hoped that this tongue will be saved on the Day of Judgement
Speaking with grammar is of no benefit if there is no Taqwaa (fear ofAllaah)
And a person with Taawaa is not harmed by having a non-Arab tongue.""","[_____ ______]
_________ _______ _____ ________ ________ ... _____ ________ ___ ________ _________ ________
_____ ________ ____________ ____ ____ ______ _____ ... _____ _____ ___ _______ _______ ________»"
"[157] Abul-Qaasim 'Abdul-'Azeez bin 'Alee bin Ahmad Al-Khayyaat Al-Azjee narrated to us: Abu Bakr Muhammad bin Ahmad bin Muhammad, the beneficial one in Jarjaraayaa, narrated to us: Muhammad bin Mukhlid narrated to us: Muhammad bin Al-Mathnaa As-Simsaar narrated to us, saying:","157 - ___________ _____ __________ ______ __________ ____ _______ ____ ________ ___________ _____________ ___ _____ ______ _________ ____ ________ ____ _________ __________ _______________ ___ _________ ____ _________ ___ _________ ____ ___________ _____________ _____ [_:94]:"
"We were with Bishr bin Al-Haarith when Al-'Abbaas bin 'Abdil-'Adheem Al-'Anbaree was with him, and he was from among the noble Muslims, so he said to him: 'O Abu Nasr (i.e. Bishr), you are a man who has recited the Qur'aan and written down the Hadeeth. So why don't you learn from the Arabic language that which will enable you to speak it without making any grammatical errors?'","“______ ______ ______ ____ ___________ __________ ___________ ____ ______ __________ _______________ _______ ____ ________ _______________ _______ ____: ___ _____ ______ ______ ______ ____ ________ __________ __________ ___________ ______ ___ ___________ ____ ______________ ___ ________ ____ _________ ______ ___ _________"
"So he said: 'And who will teach me, Abul-Fadl (i.e. Al-'Abbaas)?' He said: 'I will, Abu Nasr.' He said: 'Then do it.' He said: 'Say: Daraba Zaydun 'Amra (i.e. Zayd hit 'Amr).' So Bishr said to him: 'My brother, why did he hit him?' He said: 'O Abu Nasr, he didn't really hit him. It's just an example that was created (for learning Arabic).' So Bishr said: 'This starts out with a lie. I have no need for this.'""","_____: ______ ____________ ___ _____ __________ _____: _____ ___ _____ _______ _____: _________ _____: ____: (______ ______ _______) _ _____: _______ ____ ______: ___ _____ ______ _________ _____: ___ _____ ______ ___ _________ __________ _____ ______ _______ _______ ______: _____ _________ ______ ___ _______ ___ _____"""
"[158] Abu Nasr Ahmad bin 'Alee bin 'Abdoos Al-Ahwaazee informed us, saying: I heard Muhammad bin Ibraaheem Al-Asbahaanee say: I heard 'Abdullaah bin Al- Husayn bin Sa'eed Al-Malatee say: I heard Abu Haaroon Muhammad bin Haaroon say: I heard Ibn Abee Uwais say:","158 - ___________ _____ ______ ________ ____ _______ ____ _________ _______________ __________ _____: ________ _________ ____ ____________ __________________ _______: ________ ______ _______ ____ ___________ ____ _______ _____________ _______: ________ _____ ________ _________ ____ _________ _______: ________ _____ _____ _________ _______:"
"""A man from amongst the nobles once attended a gathering wearing a silk garment where (Imaam) Maalik was saying some words while committing grammatical errors. So the nobleman said: 'Didn't the two parents of this man have two dirhams, which they could spend on him to teach him some grammar?'","“______ ______ ____ ____________ ________ ______ ________ _____: ___________ _______ _________ ______ ______ _____: _______ __________: ___ _____ __________ _____ ___________ ___________ _________ ________________ __________"
"Upon hearing the statement of this nobleman, Maalik said: 'That you know what is permissible for you to wear from that which is not permissible is better for you than (knowing the difference between): 'Daraba Abdullaahi Zaydan’ and Darbi Zaydin 'Abdallaah.'""","_____: ________ _______ _______ __________ _______: ______ ________ ___ _______ ____ ________ ______ ________ ________ ______ ____ ____ (______ ______ _______ _______) _ (________ ______ ______ _______)"""
"Abiding by the Guarantee of what will Occur in the
Hereafter",_____ _________ ______________ ___ ______ __________
"[159] Abu Na'eem Ahmad bin 'Abdillaah, the Haafidh, narrated to us while dictating: Muhammad bin Ibraaheem bin Al-Muqree narrated to us, saying: Abu Ya'laa, i.e. Ahmad bin 'Alee bin Al-Mathnaa Al-Mawsilee, narrated to us: 'Abdullaah bin 'Awf narrated to us: 'Uthmaan bin Matr Ash-Shaybaanee narrated to us from Thaabit Al- Bunaanee that Mutarraf bin 'Abdillaah bin Ash-Shakheer used to say:","159 - ________ _____ ________ ________ ____ ______ _______ ___________ __________ ___ _________ ____ ____________ ____ ____________ _____: ___ _____ _______ ______ ________ ____ _______ ____ ___________ _______________ ___ ______ _______ ____ _______ ___ _________ ____ ______ ________________ ____ _______ ______________ ____ _________ ____ ______ _______ ____ ____________ _______ _____ _______:"
"""O my brothers! Strive hard to perform (good) deeds, for if the matter is as we hope for from Allaah's Mercy and Forgiveness, we will have levels in Paradise. And if the matter will be severe as we fear and are wary of, we will not say: 'Our Lord, take us out (from Hell). We will do righteous deeds contrary to that (evil) which we used to do.' (Rather), we will say: 'We had acquired knowledge but it did not benefit us.'""","“___ _________ ___________ ___ _________ ______ ______ _________ _____ _______ ____ ________ _______ ___________ _______ _____ _________ ___ ___________ ______ ______ _________ ________ _____ _______ ___________ ____ ______: {________ ___________ ________ ________ ______ _______ ______ ________} [____: 37] _______: ____ _________ ______ ___________"""
"[160] Abul-Husayn 'Alee bin Muhammad bin 'Abdillaah Al-Mu'adal informed us: Abu 'Alee Al-Husayn bin Safwaan Al-Bardha'ee narrated to us: 'Abdullaah bin Muhammad bin Abee Ad-Dunyaa narrated to us, saying: Muhammad bin 'Abdil- Majeed narrated to me, saying: I heard Sufyaan say: ""A man once said to Muhammad bin Al-Munkadir and to another man from Quraysh:","160 - ___________ _____ ___________ _______ ____ _________ ____ ______ _______ _____________ _____ _____ _______ ___________ ____ _________ _______________ ___ ______ _______ ____ _________ ____ _____ ___________ _____: __________ _________ ____ ______ ___________ _____: ________ __________ _____: _____ _______ ___________ ____ _____________ __________ _____ ____ ________:"
"'Take heed, take heed!' and 'Beware, beware! For if the matter is as you hope it is, everything you put forth (of good deeds) will be a virtue. But if the matter is not that way (in the Hereafter), then do not blame yourselves.'""","«________ ________ ___________ _________ ______ ______ _________ _____ ___ __________ _____ ___ ___________ ________ ______ ______ _________ _____ ______ _______ ____ _________ ____________»"
"[161] Abu 'Abdillaah Al-Husayn bin 'Umar bin Burhaan Al-Ghazaal informed us: 'Abdul-Baaqee bin Qaani' bin Marzooq, the Judge, narrated to us, while dictating: Bishr bin Moosaa narrated to us: 'Abdullaah bin Saalih narrated to us: Yahyaa bin Hameed bin 'Abdil-Malik bin Abee Ghunyah narrated to us, saying:","161 - ___________ _____ ______ _______ ___________ ____ ______ ____ _________ ____________ ___ ______ _________ ____ _______ ____ _________ __________ __________ ___ ______ ____ _______ ___ ______ _______ ____ ________ ___ _______ ____ ________ ____ ______ _________ ____ _____ __________ _____:"
"Muhammad bin An-Nasr Al-Haarithee said to a brother of his:
""To proceed: You are indeed in a preliminary abode, and before you are two homes out of which you will definitely reside in one of them. You have not been guaranteed security, such that you can feel safe, nor have you been granted acquittal, such that you can take it easy and be at peace.""","“______ _________ ____ _________ ______________ _____ ____ ____: «______ ______ _________ ___ _____ _________ ___________ ____________ ___ _____ ____ ____ ________ ____________ ______ ________ _______ _____________ _____ _________ ___________ ____________»"
Good Deeds are the Provisions and Useful Supplies on the Day of Final Return,"_____ ___ _____ ____________ ____ _________ ______________ ____________ ______ __________"
"[162] 'Alee bin Muhammad bin 'Abdillaah Al-Mu'adal informed us, saying: Al- Husayn bin Safwaan Al-Bardha'ee narrated to us: 'Abdullaah bin Muhammad bin Abee Ad-Dunyaa narrated to us, saying: Muhammad bin Al-Husayn narrated to me: Dawood bin Al-Muhbir narrated to us from Saalih Al-Murree from Al-Hasan (Al- Basree) that he said:","162 - ___________ _______ ____ _________ ____ ______ _______ _____________ _____: _____ ___________ ____ _________ _______________ ___ ______ _______ ____ _________ ____ _____ ___________ _____: __________ _________ ____ ____________ ___ _______ ____ _____________ ____ _______ ____________ ____ __________ _____:"
"""The believer will rely on what he has put forth from deeds while in his grave. If it is good, then good (will be for him), and if it is bad, then bad (will be for him). So seize the opportunity to hasten (to do good deeds), may Allaah have mercy on you, during times of respite (i.e. free time).""","«___________ ___________ ___ _______ ____ ________ ___ _________ ____ _______ ________ ______ ______ ________ _____________ ______________ __________ _______ ___ ____________»"
"[163] Abu Bakr Muhammad bin 'Umar bin Ja'far Al-Khiraqee informed us, saying: Abu Bakr Ahmad bin Ja'far bin Muhammad bin Salam Al-Khatlee narrated to us: Ahmad bin 'Alee Al-Abbaar narrated to us: Yahyaa bin Ayoob narrated to us: 'Ammaar bin Muhammad Abul-Qattaan narrated to us from Mansoor that Mujaahid said concerning Allaah's statement:","163 - ___________ _____ ______ _________ ____ ______ ____ ________ _____________ _____: _____ _____ ______ ________ ____ ________ ____ _________ ____ ______ ______________ ___ ________ ____ _______ ____________ ___ _______ ____ _________ ___ ________ ____ _________ _____ ____________ ____ __________ ____ __________ ___ ________ ________"
"""And do not forget your portion of this worldly life"": ""Your (current) life is for the purpose of performing deeds in it for your next life (i.e. in the Hereafter).""",{_____ ______ _________ ____ __________} [_____: 77] _____: «________ ____ ________ _____ ___________»
"[164] Abul-Qaasim 'Abdur-Rahmaan bin Ahmad bin Ibraaheem Al-Qazweenee informed us, saying: 'Alee bin Ibraaheem bin Salamah Al-Qattaan informed us: Abu Haatim Ar-Raazee narrated to us, saying: Suwayd, who is Ibn Sa'eed, narrated to me: Abu 'Awn Al-Hakam bin Sinaan narrated to us from Maalik bin Deenaar that he said:","164 - ___________ _____ __________ ______ ___________ ____ ________ ____ ____________ ________________ _____: _____ _______ ____ ____________ ____ ________ ____________ ___ _____ _______ ____________ _____: __________ ________ ____ _____ ________ ___ _____ ______ _________ ____ ________ ____ _______ ____ _________ _____:"
"""It is written in the Torah: 'As you treat others, so will you be treated. And as you plant seeds (i.e. actions), so will you reap its consequences.""","“_________ ___ ____________: _____ _______ ________ _______ ________ ________"""
"[165] Abul-Husayn Ahmad bin 'Alee bin Al-Husayn At-Tawzee informed us, saying: Abu Muhammad 'Ubaydullaah bin Muhammad Al-Jaraadee the Scribe, informed us, saying: Ibn Duraid recited the verses, saying: 'Abdur-Rahmaan, i.e. the son of my brother Al-Asma'ee, recited to us from his paternal uncle, saying: A man from the inhabitants of Basrah recited the following poetic verses to me:","165 - ___________ _____ ___________ ________ ____ _______ ____ ___________ ______________ _____: ________ _____ _________ ________ _______ ____ _________ _____________ ___________ _____: ___________ _____ ________ _____: ___________ ______ ___________ _______ _____ _____ _______________ ____ ________ _____: ___________ ______ ____ ______ ___________: «"
"""There is nothing for you on the Day of Resurrection except for that which you have
prepared as a provision before death for the Day of Gathering
If you don't plant the seeds and anticipate the approach of the harvest season
You'll regret having been negligent when the time was right (for planting).""","[_____ ______]
_____ ____ ______ _________ ______ _____ ... _______ _____________ ______ __________ _____ _________
_____ ______ ____ ________ ____________ ________ ... ________ _____ ____________ ___ ______ _________»"
"[166] Muhammad bin Al-Husayn bin Al-Fadl Al-Qattaan informed us, saying: 'Abdullaah bin Ja'far bin Darsawaih informed us: Ya'qoob bin Sufyaan narrated to us, saying: Shihaab bin 'Abaad claimed that it was conveyed to him that Sufyaan would recite the following poetic verses from Al-A'shaa:","166 - ___________ _________ ____ ___________ ____ _________ ____________ _____: ____ ______ _______ ____ ________ ____ _______________ ___ _________ ____ __________ _____: ________ _______ ____ ________ «_______ ________ _____ __________» _____ ___________ ___________ __________:"
"""Ifyou don't set out on your journey with the provision of dutifulness to Allah and you
encounter after death, he who came well-prepared with provisions
You will regret not having been like him
And not having prepared (yourself) with that which he prepared himself.""","[_____ ______]
_____ ______ ____ ________ _______ ____ ________ ... ___________ ______ _________ ____ ____ __________
________ _____ ______ _______ __________ ... _________ ____ ________ _____ _____ _________"""
"[167] Ibraaheem bin 'Umar Al-Barmakee informed us: Muhammad bin 'Abdillaah bin Khalf Ad-Daqaaq informed us: Muhammad bin Saalih bin Dhuraih Al-'Ukbaree narrated to us: Hanaad bin as-Surree narrated to us: Wakee' narrated to us from Sufyaan from a man on the authority of Al-Hasan (Al-Basree), that he would recite this poetic verse during the morning and night:","167 - ___________ ____________ ____ ______ _______________ _____: ____ _________ ____ ______ _______ ____ ______ ____________ ___ _________ ____ _______ ____ _______ _______________ ___ ________ ____ ___________ ___ ________ ____ __________ ____ _______ ____ __________ _______"" _____ ___________ _____ _________ _____ ________ _______ _______:"
"""The young man is happy with what he has put forth from dutifulness to Allaah When he becomes aware of the sickness that he is fighting against.""","[_____ ______]
«_______ ________ ___ _____ _______ ____ _____ ... _____ ______ ________ _______ ____ _________»"
"[168] Abu 'Abdillaah Muhammad bin 'Abdil-Waahid bin Muhammad bin Ja'far informed us: Muhammad bin Al-'Abbaas informed us: Ahmad bin Sa'eed As-Soosee narrated to us: 'Abbaas bin Muhammad narrated to us, saying: Yahyaa bin Ma'een would recite this verse:","168 - ____ _____ ______ _______ _________ ____ ______ __________ ____ _________ ____ _________ _______ _________ ____ ____________ _____ ________ ____ _______ ____________ ___ ________ ____ __________ _____: _____ _______ ____ ________ _____ _________:"
"""If you are lacking provisions, you will not find any provision quite like that of righteous actions.""
Yahyaa said: ""This is from Al-Akhtal.""","[_____ ______]
«_______ ___________ _____ ____________ ____ ______ ... _______ _______ _________ ____________»
_____ _______: _____ ____________"
"Taking Advantage of Youth, Health and Free Time
And Hastening to do Good Deeds before the Occurrence of that which will cause these Things to Cease",_____ __________ ____________ ____________ ____________ ________________ _____ ____________ ______ _______ ___ ________ _______
"[169] Abu Taalib Makkee bin 'Alee bin 'Abdir-Razzaaq Al-Hareeree informed us, saying: Abu Ishaaq Ibraaheem bin Muhammad bin Yahyaa Al-Muzakkee narrated to us, saying: Muhammad bin Ishaaq bin Ibraaheem Ath-Thaqafee informed us: Muhammad bin Bakaar narrated to us: Ismaa'eel bin Ja'far, Ibn Al-Mubaarak, Ad-Daraawirdee and 'Abdullaah Ja'far all narrated to us from 'Abdullaah bin Sa'eed bin Abee Hind from his father from Ibn 'Abbaas that he said: The Messenger of Allaah said:","169 - ___________ _____ _______ ________ ____ _______ ____ ______ ___________ ______________ _____: ___ _____ _________ ____________ ____ _________ ____ _______ ____________ _____: ________ _________ ____ _________ ____ ____________ _____________ ___ _________ ____ _________ ___ ____________ ____ _________ _______ _____________ ____________________ ________ _______ ____ _________ _________ ____ ______ _______ ____ _______ ____ _____ _______ ____ ________ ____ _____ _________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Free time and good health are two blessings (from Allaah) that many people take for granted.""",«__________ ____________ ___________ _________ ________ _______ ____ ________»
"[170] Abul-Hasan 'Alee bin Ahmad bin 'Umar Al-Muqree informed us: Muhammad bin 'Abdillaah bin Ibraaheem Ash-Shaafi'ee narrated to us, saying: Mu'aadh bin Mathnaa narrated to us: Musaddad narrated to us: 'Abdullaah bin Dawood narrated to us from Ja'far bin Barqaan from Ziyaad bin Al-Jarraah from 'Amr bin Maymoon that the Messenger of Allaah said to a man, while admonishing him:","170 - ___________ _____ _________ _______ ____ ________ ____ ______ ___________ ___ _________ ____ ______ _______ ____ ____________ ______________ _____: ___ _______ ____ ____________ ___ __________ ___ ______ _______ ____ ________ ____ ________ ____ __________ ____ _______ ____ ____________ ____ _______ ____ __________ _____ _______ _______ ______ _____ ________ _________ _____ ________ ______ ________:"
"""Take advantage of five before five: Your youth before you become old; your health before you become sick; your wealth before you become poor; your free time before you become busy; and your life before you die.""","“_________ _______ ______ ______: _________ ______ _________ __________ ______ _________ _________ ______ _________ ___________ ______ _________ ___________ ______ ________"""
"[171] Abu Muhammad Al-Hasan bin 'Alee bin Ahmad bin Bashaar AsSaabawaree informed us in Basrah: Abu Bala Muhammad bin Ahmad bin Mahmawaih Al- 'Askaree narrated to us: Ja'far bin Muhammad AlQalaanisee narrated to us, saying: Aadam bin Abee Iyaas narrated to us: Shu'bah narrated to us: Sa'eed Al-Jareeree narrated to us: Ghaneem bin Qays said:","171 - ___________ _____ _________ _________ ____ _______ ____ ________ ____ ________ _______________ ______________ ___ _____ ______ _________ ____ ________ ____ ____________ _______________ ___ ________ ____ _________ ________________ _____: ___ _____ ____ _____ ________ ___ _________ ___ _______ _______________ _____ ________ ____ _______"
"""We would take admonition in the beginning of Islaam from the following: 'O son of Aadam! Perform deeds in your free time for the time when you will be preoccupied; in your youth for the time when you will become elderly; in your health for the time when you will be sick; in your worldly life for the time when you will be in the Hereafter; and in your life for the time when you will be dead.""","“______ ___________ ___ _______ ____________: «_____ _____ _______ ___ _________ ___________ _____ _________ ___________ _____ _________ ___________ _____ _________ ____________ _____ _________ __________»"
"[172] I narrated from Muhammad bin 'Abdillaah bin Akhee Maymaa that he said: Ja'far bin Muhammad bin Naseer informed us: Ahmad bin Muhammad bin Masrooq At-Toosee narrated to us, saying: I recited to Mahmood bin Al-Hasan the following verses from his sayings:","172- _________ ____ _________ ____ ______ _______ ____ _____ _________ _____: ____ ________ ____ _________ ____ _________ ___ ________ ____ _________ ____ _________ ____________ _____: ________ _____ _________ ____ __________ ____ ________:"
"""Take advantage of your youth before you become old
andfrom your body's health before you become sick
and the days you are alive before death
The time of the one who lives is not secure
So take advantage of your free time
At nights you may be busy with some affairs
And put forth (good deeds), for every person puts forth
Over some of what he has already put forth (from deeds).""","[_____ ________]
_______ _________ ____ _________ ... _________ ________ ____ _________
__________ ________ ______ __________ ... _____ ______ ____ _____ ____ _________
________ _________ _______ ____ ... _________ ________ ___ ______ ___
_________ _______ _______ _______ ... _____ ______ ___ _____ ____ ________"
"[173] Ibraaheem bin 'Umar Al-Barmakee informed us: Muhammad bin 'Abdillaah bin Khalf narrated to us, saying Ibn Dhuraih narrated to us: Hanaad bin as-Surree narrated to us: Wakee' narrated to us from AlA'mash that he said: I heard them mentioning from Shuraih that he once saw some of his neighbors wandering about aimlessly, so he said to them:","173- ___________ ____________ ____ ______ _______________ _____ ____ _________ ____ ______ _______ ____ _______ _____: __ _____ ________ ___ ________ ____ ___________ ___ ________ ____ ____________ _____: ____________ ____________ ____ _________"
"""What is the matter with you?"" They replied: ""We have free time today."" So he said: ""Is this what the one with free time was ordered to do?""","“_______ _____ _________ ____ __________ _______: _________ _________: _________ __________ _______ ________: _________ ______ ___________"""
"[174] Abul-Hasan Ahmad bin Al-Husayn bin 'Abdillaah At-Tameemee informed us, saying: Muhammad bin 'Abdir-Rahmaan Adh-Dhahabee informed us: Muhammad bin Haaroon Al-Hadramee narrated to us: Abu Bakr Ahmad bin Muhammad bin Anas narrated to us: 'Abdul-Wahhaab bin Naafi' narrated to us: Al-Fadl bin Ibraaheem narrated to us from Mu'aawiyah bin Qurrah that Anas bin Maalik said: The Messenger of Allaah said:","174- ___________ _____ _________ ________ ____ ___________ ____ ______ _______ ______________ _____: ________ _________ ____ ______ ___________ _____________ ___ _________ ____ ________ _______________ ___ _____ ______ ________ ____ _________ ____ _______ ___ ______ ___________ ____ ________ ___ _________ ____ _____________ ____ ___________ ____ ________ ____ ______ ____ ________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""The person with the worst reckoning on the Day of Judgement is the one with sufficient means, the one with free time.""",«_______ ________ ________ ______ ____________ ____________ __________»
[175] Abul-Qaasim 'Abdur-Rahmaan bin 'Ubaydillaah Al-Harbee informed us: Abu Bakr Ahmad bin Salmaan An-Najaad narrated to us: Ja'far As-Saa'igh narrated to us: 'Affaan narrated to us: 'Awn bin Mu'amar narrated to us from Al-Jild bin Ayoob that Mu'aawiyah bin Qurrah said:,"175- ___________ _____ __________ ______ ___________ ____ ________ _______ _____________ ___ _____ ______ ________ ____ _________ ____________ ___ ________ ___________ ___ _________ ___ ______ ____ _________ ____ _________ ____ _________ ____ ___________ ____ ________ _____:"
"""The person who will receive the most reckoning on the Day of Judgement is the healthy one, the one with lots of free time.""",«________ ________ ________ ______ ____________ __________ __________»
[176] Al-Hasan bin Abee Bakr informed us: 'Uthmaan bin Ahmad AdDaqaaq informed us: Heedhaam bin Qutaybah Al-Marwazee narrated to us: Muhammad bin Kulaib narrated to us: Ismaa'eel bin 'Ayaash narrated to us: Mut'im bin Al-Miqdaam As-San'aanee and others narrated to us from Muhammad bin Waasi Al-Azdee that he said: Abud-Dardaa wrote to Salmaan:,"176- ___________ _________ ____ _____ _______ _____: _____ _________ ____ ________ ____________ ___ _________ ____ __________ _______________ ___ _________ ____ _________ ___ ____________ ____ _________ ___ ________ ____ ____________ ________________ ___________ ____ _________ ____ _______ _____________ _____: ______ _____ _____________ _____ _________:"
