ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"for God tells us that His creatures will come to life and arise, and the infidels will be eternally in Hell, and the Prophets and the faithful will enter into Paradise, and that the' resurrection will take place (yet the resurrection has not taken place since this revelation);","وقد أخبر الله تعالى أن الخلق يبعثون ويحشرون، وأن الكافرين في النار يخلدون، وأن الأنبياء والمؤمنين في الجنان يخلدون، وأن القيامة تقوم ولم تقم القيامة،"
"wherefore that proves that God knows what is going to be before it is. God has said concerning the people of Hell, “but though they should return, they would surely go back,” wherefore He tells us concerning what is not, how it would be if it were. He has said, “But what was the state of generations past? He said, ‘The knowledge thereof is with my Lord in the Book of His decrees. My Lord erreth not, nor forgetteth ’” (for He who does not know a thing before it exists does not know it after its completion). May He be very far above the beliefs of the wrongdoers!","فذلك يدل على أن الله تعالى يعلم ما يكون قبل أن يكون، وقد قال تعالى في أهل النار: (ولو ردوا لعادوا) من الآية (28 /6)، فأخبر عما لا يكون أنه لو كان كيف يكون، وقال تعالى: (فما بال القرون الأولى قال علمها عند ربي في كتاب لا يضل ربي ولا ينسى) من الآية (51 - 52 /20)، ومن لا يعلم الشيء قبل كونه لا يعلم بعد تقضيه، تعالى الله عن قول الظالمين علوا كبيرا."
,
"Mu'awiyah ibn 'Amr relates the following tradition: Za’idah told us on the authority of Sulayman al-A'nias, and he on the authority of ‘Amr ibn Murrah, and he on the authority of 'Abd ar-Rahman ibn Abi Layla, and he on the authority of 'Abdallah ibn Rabi'ali, We were with 'Abdallah, he said, and they mentioned a man and they discussed who created him. The people said, “Has he not one who punishes his hands?” 'Abdallah said, “Think you, if his head were severed, you could make a hand for it?” They said, “No.”","وروى معاوية بن عمرو، قال: ثنا زائدة، عن سليمان الأعمش، عن عمرو بن مرة، عن عبد الرحمن بن أبي ليلى، عن عبد الله بن ربيعة، قال: كنا عند عبد الله، قال: فذكروا رجلا فذكروا من خُلُقِه، فقال القوم: أما له من يأخذ على يديه؟ قال عبد الله: أرأيتم لو قطع رأسه كنتم تستطيعون أن تجعلوا له رأسا؟ قالوا: لا."
"Abdallah said, “The semen, when it enters a woman, abides forty days, then it swells with blood, then it becomes a clot a like period of time, then it becomes an embryo a like period of time, then He sends angels, saying, ‘ Write his appointed term, and his work, and his sustenance, and his mark, and his character, and whether he will fare ill or well,’ and you cannot alter his character until you alter his creation.”","قال عبد الله: إن النطفة إذا وقعت في المرأة مكثت أربعين يوما، ثم انحدرت دما، ثم تكون علقة مثل ذلك، ثم تكون مضغة مثل ذلك، ثم يبعث ملك فيقول: اكتب أجله، وعمله، ورزقه، وأثره، وخلقه، وشقي أو سعيد، وأنكم لن تستطيعوا أن تغيروا خُلُقه حتى تغيروا خَلْقه."
"Mu'awiyah ibn 'Amr relates the following tradition: Za’idah told us on the authority of Mansur, and he on the authority of Sa'd ibn 'Ubaydah, and he on the authority of Abu 'Abd ar-Rahman, and he on the authority of ""All, We were at a funeral in Baqi' al-Garqad, and the Prophet came and sat, and we about him, and he had a staff of his with him, and he wrote upon the ground with it, and raised his head and said, “There is not among you a living soul, whose place in Paradise or [p. 67] Hell has not been written, and who has not been written down miserable or happy.”","وروى معاوية بن عمرو، قال: ثنا زائدة، عن سعيد بن عبيدة، عن أبي عبد الرحمن، عن علي رضي الله عنه، قال: كنا في جنازة في بقيع الغرقد فأتى النبي صلى الله عليه وسلم فقعد ونحن حوله، ومعه حصير فنكت بها ورفع رأسه، فقال: (ما منكم من نفس منفوسة إلا قد كتب مكانها من الجنة والنار، وإلا قد كتبت شقية أو سعيدة)، "
"A man of the company said, “0, Apostle of God, shall we not abide by our writ and claim the work and will not he of us who is of the people of happiness attain to happiness, and he who is of the people of misery attain to misery?” He said, “Act, for all is easy. As for the people of misery, they do easily the works of misery, and as for the people of happiness, they do easily the works of happiness.” Then he said, “'But as to him who giveth (alms) and feareth God and yieldeth assent to the Good, to him will We make easy the path to happiness. But as to him who is covetous and bent on riches, and calleth the Good a lie, to him will We make easy the path to misery.’”","فقال رجل من القوم: يا رسول الله أفلا نمكث على كتابنا وندع العمل، فمن كان منا من أهل السعادة فسيصير إلى السعادة، ومن كان من أهل الشقاوة فسيصير إلى الشقاوة؟ فقال: (اعملوا فكل ميسر لما خلق له أما أهل الشقوة فميسرون لعمل الشقوة، وأما أهل السعادة فميسرون لعمل السعادة)، ثم قال: (فأما من أعطى واتقى وصدق بالحسنى فسنيسره لليسرى وأما من بخل واستغنى وكذب بالحسنى فسنيسره للعسرى) (5 - 10 /92)."
"Musa ibn Isma'il relates the following tradition: Hammad told us, Hisam ibn 'Urwah informed us on the authority of Tlrwah, and he on the authority of 'A’isah, that the Apostle of God said, “A. man shall work the work of the people of Paradise, even though he be written in the Book among the people of Hell. But if, before his death, he has turned about and worked the work of the people of Hell and then died, then he enters Hell; and a man shall work the work of the people of Hell, even though it be written in the Book that he is of the people of Paradise, but if, before his death, he has turned about and worked the works of the people of Paradise, and then died, then he enters Paradise.”","وروى موسى بن إسماعيل قال: ثنا حماد، قال: ثنا هشام بن عروة، عن عروة، عن عائشة رضي الله عنها، وعن أبويها أن رسول الله صلى الله عليه وسلم قال: (إن الرجل ليعمل بعمل أهل الجنة، وإنه مكتوب في الكتاب من أهل النار، فإذا كان قبل موته تحول فعمل بعمل أهل النار، فمات فدخل النار، وإن الرجل ليعمل بعمل أهل النار، وأنه مكتوب في الكتاب أنه من أهل الجنة، فإذا كان قبل موته تحول فعمل بعمل أهل الجنة، فمات فدخل الجنة)."
"These hadlt prove that God knows that what will be, will be, and writes it down; and that He writes down the people of Paradise and the people of Hell, and creates them as two groups: a group for Paradise, and a group for the flame. His Book states that clearly when it says, “some hath He guided, and some hath He justly left in error;” and He also says, “when part shall be in Paradise and part in the flame,” and He also says, “and some shall be miserable and others blessed.” And so God creates the miserable for misery and the blessed for blessedness. He has said, “Many, moreover, of the jinn and men have We created for Jahannam.”","وهذه الأحاديث تدل على أن الله تعالى علم ما يكون أنه يكون وكتبه، وأنه قد كتب أهل الجنة وأهل النار، وخلقهم فريقين فريقا في الجنة وفريقا في السعير، وبذلك نطق كتابه العزيز؛ إذ يقول: (فريقا هدى وفريقا حق عليهم الضلالة) من الآية (30 /7)، وقال تعالى: (فريق في الجنة وفريق في السعير) من الآية (7 /42)، وقال تعالى: (فمنهم شقي وسعيد) من الآية (105 /11) فخلق الله الأشقياء للشقاء، والسعداء للسعادة، وقال تعالى: (ولقد ذرأنا لجهنم كثيرا من الجن والإنس) من الآية (179 /7)."
"The following has been related on the authority of the Prophet: “God has ordained a people for Paradise, and a people for Hell.”",وروي عن النبي صلى الله عليه وسلم: (أن الله عز وجل جعل للجنة أهلا وللنار أهلا) أعاذنا الله منها.
,
PROOF CONCERNING THE Qadar.,دليل آخر في القدر:
Among the things that prove the falsity of the belief of the Qadariyyah are God’s words “And when thy Lord brought forth their descendants from the reins of the sons of Adam” —the verse.,ومما يدل على بطلان قول القدرية قول الله تعالى: (وإذا أخذ ربك من بني آدم من ظهورهم ذريتهم) الآية من الآية (172 /7).
,
"There is a tradition, on the authority of the Apostle of God, that God rubbed the back of Adam and brought forth his offspring from his back in the likeness of ants, then He compelled them to acknowledge His unity and raised an argument against them, because He said, “and took them to witness against themselves. ‘Am I not,’ said He, ‘your lord?’ They said, ‘ Yes, we witness it.’”","وجاءت الرواية عن رسول الله صلى الله عليه وسلم: (أن الله عز وجل مسح ظهر آدم فأخرج ذريته من ظهره كأمثال الذر، ثم قررهم بوحدانيته وأقام الحجة عليهم)؛ لأنه قال تعالى: (وأشهدهم على أنفسهم ألست بربكم قالوا بلى شهدنا) من آية (172 /7)،"
"God has said, “lest ye should say on the Day of Resurrection, ‘Truly, of this were we heedless.’” And so He makes their having been compelled to acknowledge His unity, when He brought them forth from Adam’s back, an argument against them, when they deny, in the world, that of which they admitted knowledge when they were first multiplied, then, after the acknowledgment, repudiated.","قال الله تعالى: (أن تقولوا يوم القيامة إنا كنا عن هذا غافلين) من الآية (172 /7) فجعل تقريرهم بوحدانيته لما أخرجهم من ظهر آدم صلى الله عليه وسلم حجة عليهم إذا أنكروا في الدنيا ما كانوا عرفوه في الذر الأول، ثم من بعد الإقرار جحدوه."
"It has been related on the authority of the Prophet that God seizes [p. 68] a handful for Paradise and a handful for Hell, distinguishing the one from the other; and so misery prevails over the people of misery and blessedness over the people of blessedness.","وروي عن النبي صلى الله عليه وسلم أنه قال: (أنه سبحانه وتعالى قبض قبضة للجنة، وقبض قبضة للنار، ميز بعضها من بعض، فقلبت الشقوة على أهل الشقوة، والسعادة على أهل السعادة)."
,
"God has said, telling us of the people of Hell, that they said, “0 our Lord! our misery prevailed over us, and we became an erring people,” All that is by a command that exists antecedently in God’s knowledge, in which His will is completely fulfilled and His wish realized.","قال الله تعالى مخبرا عن أهل النار - أعاذنا الله منها - أنهم قالوا: (ربنا غلبت علينا شقوتنا وكنا قوما ضالين)، فكل ذلك أمر قد سبق في علم الله تعالى، ونفذت فيه إرادته، وتقدمت فيه مشيئته."
,
"jMu'awiyah ibn 'Amr relates the following tradition: Za’idah said, Talhah ibn Yahya the Quraysite said, ‘A’isah bint Talhah told me, on the authority of 'A’isah, Mother of the Faithful, that the Prophet was called to the funeral of a young man of the Helpers to pray for him. 'A’isah said, “Blessed, 0 Apostle of God, be this sparrow of Paradise, who did not evil, neither did it overtake him 1” He said, “Or otherwise, 0 'A’isah! God ordained a people for Paradise, when they were in the loins of their fathers, and a people for Hell, whom He ordained for it when they were in the loins of their fathers.” This explains that blessedness precedes its recipients, and misery precedes its recipients.","وروى معاوية بن عمرو قال: ثنا زائدة، قال: حدثنا طلحة بن يحيى القرشي، قال: حدثتني عائشة بنت طلحة، عن عائشة أم المؤمنين رضي الله عنها وعن أبويها أن النبي صلى الله عليه وسلم دعي إلى جنازة غلام من الأنصار ليصلي عليه، فقالت عائشة رضي الله عنها: طوبى لهذا يا رسول الله، عصفور من عصافير الجنة لم يعمل سوءا ولم يدركه، قال: (أو غير ذلك يا عائشة، إن الله تعالى قد جعل للجنة أهلا وهم في أصلاب آبائهم، وللنار أهلا جعلهم لها وهم في أصلاب آبائهم)، وهذا يبين أن السعادة قد سبقت لأهلها، والشقاء قد سبق لأهله."
"The Prophet said, “Work your works, for everyone does easily that for which he was created.”",وقال النبي صلى الله عليه وسلم: (اعملوا فكل ميسر لما خلق له).
,
"Another proof. God has said, “Guided indeed is he whom God guideth; but for him whom He misleadeth, thou shalt by no means find a patron, a director,” and, “Many will He mislead by it and many guide,” and so He tells us that He misleads and guides. He has said, “but the wicked shall He cause to err; God doeth what He wish- eth,” and so He tells us that He is the “Doer of what He wills,” and since infidelity is one of the things He wills, He makes it and predetermines it and originates it and develops it and creates it. He has explained that by His words “Worship ye what ye carve, when God hath created you and what ye make?;” wherefore, even if their service of idols were a work of theirs, the latter would in any ease be a thing created by God.","دليل آخر: وقد قال الله تعالى: (من يهد الله فهو المهتد ومن يضلل فلن تجد له وليا مرشدا) من الآية (17 /18)، وقال تعالى: (يضل به كثيرا ويهدي به كثيرا) من الآية (26 /12)، فأخبر تعالى أنه يضل ويهدي، وقال تعالى: (ويضل الله الظالمين ويفعل الله ما يشاء) من الآية (27 /14)، فأخبرنا أنه (فعال لما يريد) من الآية (107 /11) وإذا كان الكفر مما أراده فقد فعله، وقدره، وأحدثه، وأنشأه، واخترعه، وقد تبين ذلك بقوله تعالى: (أتعبدون ما تنحتون والله خلقكم وما تعملون) من الآية (95 - 96 /37) فلو كانت عبادتهم للأصنام من أعمالهم كان ذلك مخلوقا لله تعالى، "
"God has also said, “in recompense of their works,” meaning that He recompenses them for their works; and therefore the same thing is true when He speaks of their service of idols and their infidelity towards the Merciful, for if it were a thing that they predetermined and did by themselves, they would do and predetermine what lies outside the predetermination of their Lord and His operation; and how can they possess a predetermination and an operation and a power that do not belong to their Lord? He who thinks that makes God deficient. May God be far above the belief of those who make Him deficient!","وقد قال الله تعالى: (جزاء بما كانوا يعملون) من الآية (17 /32) يريد أنه تعالى يجازيهم على أعمالهم، فكذلك إذا ذكر عبادتهم للأصنام وكفرهم بالرحمن، ولو كان مما قدروه وفعلوه لأنفسهم لكانوا قد فعلوا وقدروا ما خرج عن تقدير ربهم وفعله، وكيف يجوز أن يكون لهم من التقدير والفعل والقدرة ما ليس لربهم؟ فمن زعم ذلك فقد عجَّز الله. تعالى الله عن قول المعجزين له علوا كبيرا.  "
"Do you not agree that, when one thinks that human beings know what God does not know, it is as though he gave them knowledge that is not included in the knowledge of God, and made them equal with God? And so likewise, he who thinks that human beings make and predetermine what God does not predetermine and that they have the power to do what He has not the power to do, gives them authority and power and ability that he does not give to the Merciful. May God be very far above the belief of the people [p. 69] of falsehood and slander and lying and insolence!","ألا ترى أن من زعم أن العباد يعلمون مالا يعلمه الله عز وجل لكان قد أعطاهم من العلم ما لم يدخله في علم الله، وجعلهم لله نظراء، فكذلك من زعم أن العباد يفعلون ويقدِّرون ما لم يقدِّره، ويقدرون على ما لم يقدر عليه، فقد جعل لهم من السلطان والقدرة والتمكن ما لم يجعله للرحمن. تعالى عن قول أهل الزور والبهتان، والإفك والطغيان علوا كبيرا."
,
Answer.,مسألة:
"It may be said to them: Does the infidel make infidelity corrupt, vain, and self-contradictory? And so if they say yes,",ويقال لهم: هل فعل الكافر الكفر فاسدا باطلا متناقضا؟ فإن قالوا: نعم.
,
"the answer is: How can he make it corrupt, self-contradictory, and vile, when he is firmly convinced that it is good, and sound, and the best of religions?","قيل لهم: وكيف يفعله فاسدا متناقضا قبيحا، وهو يعتقده حسنا صحيحا أفضل الأديان؟"
,
"And since that is impossible because an act is not really an act except on the part of one who knows it according to the real nature upon which it is grounded (just as it is impossible that there should be an act on the part of one who does not know it as an act), then God must be the one who predetermines infidelity and creates it as infidelity, corrupt, false, and self-contradictory, contrary to the truth and to what is right.","وإذا لم يجز ذلك؛ لأن الفعل لا يكون فعلا على حقيقته إلا ممن علمه على ما هو عليه من حقيقته، كما لا يجوز أن يكون فعلا ممن لم يعلمه فعلا، فقد وجب أن الله تعالى هو الذي قدر الكفر وخلقه كفرا فاسدا باطلا متناقضا، خلافا للحق والسداد "
CHAPTER CONTAINING THE Kalam CONCERNING THE INTERCESSION AND THE GOING FORTH FROM HELL.,الباب الحادي عشر الكلام في الشفاعة والخروج من النار:
"It may also be said to them: The Muslims have unanimously agreed that the Apostle of God has the power of intercession. Then for whom is the intercession? Is it for sinners who commit mortal sins, or for the devout faithful?",مسألة:
,"ويقال لهم: قد أجمع المسلمون أن لرسول الله صلى الله عليه وسلم شفاعة، فلمن الشفاعة أهي للمذنبين المرتكبين للكبائر، أم للمؤمنين المخلصين؟"
"Therefore, if they say, “For sinners who commit mortal sins,” they agree;",فإن قالوا: للمذنبين المرتكبين للكبائر وافقوا.
"but if they say, “For the faithful who are told the good news of Paradise and receive the promise of it,”",وإن قالوا: للمؤمنين المبشرين بالجنة الموعودين بها.
,
"the answer is: Then, since they receive the promise of Paradise and are told the good news of it, and God does not break His promise, what is the meaning of the Prophet’s intercession for a people whom, according to you, it is impossible for God not to cause to enter His Paradise?","قيل لهم: فإذا كانوا موعودين بالجنة وبها مبشرين، والله تعالى لا يخلف وعده فما معنى الشفاعة لقوم لا يجوز عندكم أن لا يدخلهم الله جناته؟"
"And what is the meaning of your words “They have deserved it of God and merited it of Him”? For, since “God will not wrong anyone the weight of a mote,” their retardation from Paradise is a wrong; but the intercessors intercede with God only that He may do no wrong, according to your opinions. May God be very far above your calumny against Him!","ومن قولكم أنهم قد استحقوها على الله عز وجل واستوجبوها عليه سبحانه، وإذا كان الله تعالى لا يظلم مثقال ذرة وكان تأخيرهم عن الجنة ظلما، فإنما يشفع الشفعاء إلى الله تعالى في أن لا يظلم على مذاهبكم. تعالى الله عن افتراءكم عليه علوا كبيرا."
,
"Wherefore, if they say, “The Prophet intercedes with God that He may increase His bounty towards them, not. that He may cause them to enter His Paradise,”","فإن قالوا: يشفع النبي صلى الله عليه وسلم إلى الله تعالى في أن يزيدهم من فضله، لا في أن يدخلهم جناته."
"the answer is: Has not God already promised them that? Therefore lie said, “He will pay them their due recompense and out of His bounty will He increase them;” and God does not break His promises. Hence he intercedes with God, according to you, only that He may not break His promise; and this belief is an evidence of ignorance on your part. The intercession in question is only for those who deserve punishment, that their punishment may be removed from them, or for those to whom He has not promised a thing, that He may bestow it upon them; and so, without doubt, since the promise of the bestowal precedes, there is no room for intercession.","قيل لهم: أو ليس قد وعدهم الله عز وجل ذلك فقال تعالى: (يوفيهم أجورهم ويزيدهم من فضله) من الآية (173 /4) والله تعالى لا يخلف وعده، فإنما يشفع إلى الله تعالى عندكم من أن يخلف وعده، وهذا جهل منكم، وإنما الشفاعة المعقولة فيمن استحقه عقابا أن يوضع عنه عقابه، أو في من لم يعده شيئا أن يتفضل عليه به، فأما إذا كان الوعد بالتفضل سابقا فلا وجه لهذا."
,
Question.,مسألة:
"If they ask concerning God’s words “no plea shall they offer, save for whom He pleaseth;”",فإن سألوا عن قول الله تعالى: (ولا يشفعون إلا لمن ارتضى) من الآية (28 /21).
"the answer concerning that is: “Save for whom He pleaseth” among them—they shall intercede for him. There is a tradition that the intercession of the Prophet is for the people who have committed mortal sins, and there is a tradition on the authority of the Prophet that sinners will go forth from Hell.","فالجواب عن ذلك: إلا لمن ارتضى لمن يشفعون له، وقد روي أن شفاعة النبي صلى الله عليه وسلم لأهل الكبائر، وروي عن النبي صلى الله عليه وسلم: (أن المذنبين يخرجون من النار)."
,
[p. 70] CHAPTER CONTAINING THE Kalam CONCERNING THE POOL.,الباب الثاني عشر الكلام في الحوض
,
"The Mu'tazilah also deny the Pool; but there are traditions about it on the authority of the Prophet, from many sources; and on the authority of the Companions, without disagreement;","وأنكرت المعتزلة الحوض، وقد روي عن النبي صلى الله عليه وسلم من وجوه كثيرة، وروي عن أصحابه رضي الله عنهم أجمعين بلا خلاف."
,
"and 'Allan relates the following tradition: Hammad ibn Salamah told us on the authority of 'Ali ibn Zayd, and he on the authority of al-Hasan, and he on the authority of Anas ibn Malik, that he mentioned the Pool in the presence of 'Ubaydallah ibn Ziyad and he denied it, and Anas learned of it. He said, “Indeed, by God, I will attend to him!” He went to him and said, “What did you say about the Pool?” ‘Ubaydallah said, “Have you heard the Prophet speak of it? "" He said, “I have heard the Prophet more than such-and-such a number of times say, ‘ The space between its extremities ’—meaning the Pool—‘ is the space between Aylah and Mecca,’ or ‘ between San'a’ and Mecca, and its vessels are more numerous than the stars of heaven.’”","وروي عن عفان، قال: ثنا حماد بن مسلمة، عن علي بن زيد، عن الحسن، عن أنس بن مالك رضي الله عنه أنه ذُكر الحوض عند عبيد الله بن زياد فأنكره، فبلغ أنسا رضي الله عنه فقال: لا جرم والله لأفعلن به، قال: فأتاه فقال: ما ذكرتم من الحوض، ما أنكرتم من الحوض، قال عبيد الله: هل سمعت النبي صلى الله عليه وسلم يذكره؟ قال: سمعت النبي صلى الله عليه وسلم أكثر من كذا مرة وكذا مرة يقول: (ما بين طرفيه - يعني الحوض - ما بين أيلة ومكة، أو ما بين صنعاء ومكة، وأن آنيته أكثر من نجوم السماء) اللهم اسقنا منه شربة لا نظمأ بعدها أبدا."
,
"Ahmad ibn Hamdallah ibn Yunus relates the following tradition: Ibn Abi Za’idah told us on the authority of 'Abd al-Malik ibn 'Umayr, and he on the authority of Jundub ibn Sufyan, I heard the Apostle of God say, “I have explained the Pool to you clearly in many ahbar.”","وروى أحمد بن عبد الله بن يونس قال: ثنا ابن زائدة، عن عبد الملك بن عمير عن جندب بن سفيان، قال: سمعت رسول الله صلى الله عليه وسلم يقول: (أنا فرطكم على الحوض) في أخبار كثيرة."
,
CHAPTER CONTAINING THE Kalam CONCERNING THE PUNISHMENT OF THE GRAVE.,الباب الثالث عشر الكلام في عذاب القبر
,
"The Mu'tazilah also deny the punishment of the grave; but there are traditions about it on the authority of the Prophet from many sources, and on the authority of his Companions. It has not been related on the, authority of any of them that he denied it or rejected it or gainsaid it: and so it must be an ijma' of the Companions of the Prophet.",وأنكرت المعتزلة عذاب القبر أعاذنا منه.
,"وقد روي عن النبي صلى الله عليه وسلم من وجوه كثيرة، وروي عن أصحابه رضي الله عنهم أجمعين، وما روي عن أحد منهم أنه أنكره ونفاه وجحده، فوجب أن يكون إجماعا من أصحاب النبي صلى الله عليه وسلم."
,
"Abu Bakr ibn Abi Saybah relates the following tradition: Abu Mu'awiyah told us on the authority of al-A*mas, and he on the authority of Abu Salih, and he on the authority of Abu Hurayrah, The Apostle of God said, “Take refuge with God from the punishment of the grave.”","وروى أبو بكر بن أبي شيبة قال: ثنا أبو معاوية عن الأعمش، عن أبي صالح، عن أبي هريرة رضي الله عنه، قال: قال رسول الله صلى الله عليه وسلم: (تعوذوا بالله من عذاب القبر)."
,
"Ahmad ibn Ishaq al-Hadrami relates the following tradition: Wuhayb told us, Musa ibn ‘Uqbah told us, Umm Halid bint Halid ibn Said ibn al-‘As told me that she heard the Apostle of God take refuge from the punishment of the grave.","وروى أحمد بن إسحاق الحضرمي، قال: ثنا وهيب، قال: ثنا موسى بن عقبة قال: حدثتني أم خالد بنت خالد بن سعيد بن القاضي رضي الله عنها أنها سمعت رسول الله صلى الله عليه وسلم (يتعوذ من عذاب القبر) أعاذنا الله منه."
"Anas ibn Malik relates, on the authority of the Prophet, that he said, “Were it not that you would not bury each other, I would surely ask God to let you hear of the punishment of the grave what He has let me hear.”",وروى أنس بن مالك رضي الله عنه عن النبي صلى الله عليه وسلم أنه قال: (لولا أن تدافنوا لسألت الله عز وجل أن يسمعكم من عذاب القبر ما أسمعني)
"Another proof. Among the things that explain the punishment of the infidels in the graves are the words of God “It is the fire to which they shall be exposed morning and evening, and on the day when the Hour shall arrive—‘ Bring in the people of Pharaoh [p. 71] into the severest punishment; ’” BS wherefore He places their punishment on a day when the Hour shall arrive, after their exposure to the fire in the world morning and evening. He has also said, “twice will We chastise them”—once by the sword and another time in their graves—, ""then shall they be given over to a great chastisement” —in the next world.","دليل آخر: ومما يبين عذاب الكافرين في القبور قول الله تعالى: (النار يعرضون عليها غدوا وعشيا ويوم تقوم الساعة أدخلوا آل فرعون أشد العذاب) (46 /40)، فجعل عذابهم يوم تقوم الساعة بعد عرضهم على النار في الدنيا غدوا وعشيا، وقال تعالى: (سنعذبهم مرتين) من الآية (101 /9) مرة بالسيف، ومرة في قبورهم، ثم يردون إلى عذاب غليظ في الآخرة."
,
"God also tells us that the martyrs are richly sustained and rejoice in God’s bounty in this world; for He has said, “And repute not those who are slain in God’s path to be dead. Nay, alive with their Lord, are they richly sustained; rejoicing in what God of His bounty hath vouchsafed them, filled with joy for those who follow after them, but have not yet overtaken them, that on them nor fear shall come, nor grief;” and these things can exist only in this world, because those who have not overtaken them are alive, not dead nor slain.","وأخبر الله تعالى أن الشهداء في الدنيا يرزقون ويفرحون بفضل الله تعالى، قال الله تعالى: (ولا تحسبن الذين قتلوا في سبيل الله أمواتا بل أحياء عند ربهم يرزقون فرحين بما آتاهم الله من فضله ويستبشرون بالذين لم يلحقوا بهم من خلفهم ألا خوف عليهم ولا هم يحزنون) (169 - 170 /3) وهذا لا يكون إلا في الدنيا؛ لأن الذين لم يلحقوا بهم أحياء لم يموتوا ولا قتلوا."
CHAPTER CONTAINING THE Kalam CONCERNING THE IMAMATE OF ABU BAKR THE VERACIOUS.,الباب الرابع عشر الكلام في إمامة أبي بكر الصديق رضي الله عنه
"God has said, “God hath promised to those of you who believe and do the things that are right, that He will cause them to succeed others in the land, as He gave succession to those who were before them, and that He will establish for them that religion which they delight in, and that after their fears He will give them security in exchange. They shall worship me; nought shall they join with me.”","قال الله تبارك وتعالى: (وعد الله الذين آمنوا منكم وعملوا الصالحات ليستخلفنهم في الأرض كما استخلف الذين من قبلهم وليمكنن لهم دينهم الذي ارتضى لهم وليبدلنهم من بعد خوفهم أمنا يعبدونني لا يشركون بي شيئا) من الآية (55 /24)،"
"“He has also said, “those who, if We establish them in this land, will observe prayer, and pay alms of obligation, and enjoin what is right and forbid what is evil.”","وقال تعالى: (الذين إن مكناهم في الأرض أقاموا الصلاة وآتو الزكاة وأمروا بالمعروف ونهوا عن المنكر) من الآية (41 /22)،"
"God has also praised the Emigrants, and the Helpers, and the first to accept Islam, and the people of acceptable fealty; and the Qur’an has clearly proclaimed the praises of the Emigrants and the Helpers, in many passages; and it has praised the people of acceptable fealty, and therefore God has said, “Well pleased now hath God been with the believers when they plighted fealty to thee under the tree” —the verse.","وأثنى الله تعالى على المهاجرين والأنصار والسابقين إلى الإسلام، وعلى أهل بيعة الرضوان، ونطق القرآن بمدح المهاجرين والأنصار رضي الله عنهم أجمعين في مواضع كثيرة، وأثنى على أهل بيعة الرضوان فقال تعالى: (لقد رضي الله عن المؤمنين إذ يبايعونك تحت الشجرة) من الآية (18 /48) الآية،"
"Those whom God praised and commended have agreed unanimously upon the imamate of Abu Bakr the Veracious, and they have called him the caliph of the Apostle of God, and pledged him fealty, and obeyed him, and confessed his excellence; for he was the best of the Muslim fellowship in all the good qualities that qualified him for the imamate: knowledge, and frugality (z«W), and power of judgment, and diplomacy in the Community, and other things besides.","وقد أجمع هؤلاء الذين أثنى الله عليهم ومدحهم على إمامة أبي بكر الصديق رضي الله عنه وسموه خليفة رسول الله صلى الله عليه وسلم وبايعوه وانقادوا له، وأقروا له بالفضل، وكان أفضل الجماعة في جميع الخصال التي يستحق بها الإمامة من العلم والزهد وقوة الرأي، وسياسة الأمة وغير ذلك."
"Another proof, from the Qur’an, on the imamate of the Veracious. God has furnished proof of the imamate of Abu Bakr in the Surah of the Immunity; and therefore He said to the hangers-back, who would not help His Prophet, and those who remained behind, not taking the field with him, “say, ‘ By no means shall ye ever take the field with me, and by no means shall ye fight an enemy with me,’”",دليل آخر من القرآن على إمامة أبي بكر الصديق رضي الله عنه
,"دليل آخر من القرآن على إمامة الصديق رضي الله عنه: وقد دل الله تعالى على إمامة أبي بكر الصديق رضي الله عنه في سورة براءة فقال تعالى للقاعدين عن نصرة نبيه صلى الله عليه وسلم والمتخلفين عن الخروج معه: (فقل لن تخرجوا معي أبدا ولن تقاتلوا معي عدوا) من الآية (83 /9)،"
"and He has also said in another Surah, “They who took the field with you will say, when ye go forth to the spoil to take it, ‘ Let us follow you.’ Fain would they change the word of God” —meaning His words “By no means shall ye ever take the field with me”—then [p. 72] He said, “thus hath God said already. They will say, Nay, ye are jealous of us.’ Nay! They are men of little understanding.”","وقال تعالى في سورة أخرى: (سيقول المخلفون إذا انطلقتم إلى مغانم لتأخذوها ذرونا نتبعكم يريدون أن يبدلوا كلام الله) من الآية (15 /48) يعني قوله: (لن تخرجوا معي أبدا) من الآية (83 /9)، ثم قال تعالى: (كذلكم قال الله من قبل فسيقولون بل تحسدوننا بل كانوا لا يفقهون إلا قليلا) من الآية (15 /48)،"
"He has also said, “Say to those of the Arabs who remain behind, ‘ Ye shall be called forth against a people of mighty valor. Ye shall do battle with them or they shall profess Islam. If ye obey, a goodly recompense will God give you; but if ye turn back ’”—meaning “if ye fail to answer him who summons you to fight them”—“‘ as ye turned back aforetime, He will punish you with a grievous punishment.’”",وقال تعالى: (قل للمخلفين من الأعراب ستدعون إلى قوم أولى بأس شديد تقاتلونهم أو يسلمون فإن تطيعوا يؤتكم الله أجرا حسنا وإن تتولوا) من الآية (16 /48) يعني تعرضوا عن إجابة الداعي لكم إلى قتالهم (كما توليتم من قبل يعذبكم عذابا أليما) من الآية (16 /48)
