"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"Because it is “the like” in body among game animals, excluding birds, one may only do what ʿUmar considered permissible, though God knows best, which is to examine the game animal that was killed and render recompense with what most nearly physically resembles it.","ولما كان المثل في الأبدان في الدوابِّ من الصيد دون الطائر: لم يَجُز فيه إلا ما قال عمر - والله أعلم - من أن يُنظر الى المقتول من الصيد، فيُجزى بأقرب الأشياء به شَبَهَاً منه في البدن،"
"If the game animal exceeds it a little, then it is raised up to the next thing that most nearly resembles it, as the hyena exceeded the she-goat by a little and so was raised up to the ram, but the jerboa was a little smaller than the lamb and was therefore lowered to the kid.","فإذا فات منها شيئاً رُفِع إلى أقرب الأشياء به شَبَهَاً، كما فاتت الضَّبُع العنز، فرُفِعت الى الكبش، وصَغُرَ اليربوع عن العَنَاق فخُفِضَ الى الجَفْرة."
Game birds have no “like” among livestock because of their differing physiques. Their killing is compensated based on reports of precedent and by analogy with the situation in which someone destroys something that is forbidden to him and must pay its value to the owner.,"وكان طائر الصيد لا مثل له في النَّعَم لاختلاف خِلقته وخلقته، فجُزِي خبراً وقياساً على ما كان ممنوعاً لإنسان فأتلفه إنسان، فعليه قيمته لمالكه."
"Al-Shāfiʿī said: The ruling concerning its value is uniform to the extent that it is determined as of that day and in that locale, but it varies according to time and place such that the game bird in one locale is worth a dirham and in another worth only part of a dirham.","قال ""الشافعي"": فالحكم فيه بالقيمة يجتمع في أنه يُقَوَّم قيمةَ يومه وبلده، ويختلف في الأزمان والبلدان، حتى يكون الطائر ببلد ثمنَ درهمٍ، وفي البلد الآخر ثمنَ بعضِ ردهم."
"God also commanded us to permit the testimony of credible witnesses. Since it was stipulated that we accept such witnesses, then that indicates that we should reject witnesses whose testimony is not likely to be credible.","وأمرنا بإجازة شهادة العدل، وإذا شُرط علينا أن نقبل العدل ففيه دلالة على أن نردَّ ما خالفه."
"But there is no hallmark of what it means to be a credible witness that distinguishes between such a witness and one who is not credible that might be discerned from his body or his speech. Rather, the hallmark of his veracity is merely ascertained from his personal circumstances.","وليس للعدل علامة تفرِّق بينه وبين غير العدل في بدنه ولا لفظه، وإنما علامة صدقه بما يُختَبر من حاله في نفسه."
"If good outward behavior predominates in his affairs, then he is accepted, even if there is some shortcoming that affects him to some extent; after all, no one that we have seen is free from faults.","فإذا كان الأغلب من أمره ظاهرَ الخير: قُبِلَ، وإن كان فيه تقصير عن بعض أمره، لأنه لا يُعَرَّى أحد رأيناه من الذنوب."
"So if the faults and the pious works are mixed, then there is nothing to do in regard to him except to exercise legal interpretation according to what predominates in his affairs, by distinguishing between his good and bad aspects. This being so, then it will inevitably be the case that legal interpreters differ about him.","وإذا خَلَطَ الذنوب والعمل الصالح، فليس فيه إلا الاجتهاد على الأغلب من أمره، بالتمييز بين حَسَنه وقبيحه، وإذا كان هذا هكذا، فلا بد من أن يختلف المجتهدون فيه."
"If his good behavior is more apparent, then we accept his testimony, but if another jurist comes along and perceives his outward behavior as bad, then that jurist is obligated to reject him.","وإذا ظهر حَسَنه فقبلنا شهادته، فجاء حاكم غيرُنا، فعلم منه ظهور السّيّء كان عليه ردُّه."
"Two jurists will have ruled in one matter, one to reject him and the other to accept him, and that is legal disagreement, but each did what was incumbent on him.","وقد حكم الحاكمان في أمر واحد برَدٍّ وقبولٍ، وهذا اختلاف، ولكن كلٌّ قد فعل ما عليه."
"“Cite a hadith-report,” he requested, “on the permissibility of legal interpretation.” Certainly, I said. ʿAbd al-ʿAzīz reported to us from Yazīd ibn ʿAbdallāh ibn al-Hād, from Muḥammad ibn Ibrāhīm, from Busr ibn Saʿīd, from AbūQays, client of ʿAmr ibn al-ʿĀṣ, from ʿAmr ibn al-ʿĀṣ, that he heard God’s Emissary say: “If the jurist rules, and performs legal interpretation, and is correct, then he gets two rewards; and if he rules, and performs legal interpretation, and is mistaken, then he gets one reward.”","قال: فتذكر حديثاً في تجويز الاجتهاد؟
قلت: نعم، أخبرنا عبد العزيز عن يزيد بن عبد الله بن الهاد عن محمد بن إبراهيم عن بُسْر بن سعيد عن أبي قيس مولى عمرو بن العاص عن عمرو بن العاص: أنه سمع رسول الله يقول: "" إذا حكم الحاكم فاجتهد فأصاب، فله أجران، وإذا حكم فاجتهد ثم أخطأ، فله أجر"""
"ʿAbd al-ʿAzīz reported to us from Ibn al-Hād, who said: “I transmitted that hadith-report to Abū Bakr ibn Muḥammad ibn ʿAmr ibn Ḥazm, and he said, ‘Thus did AbūSalamah transmit it to me from AbūHurayrah.’”","أخبرنا عبد العزيز عن ابن الهاد قال: فحدثت بهذا الحديث أبا بكر بن محمد بن عمرو بن حزم، فقال: هكذا حدثني أبو سلمة عن أبي هريرة"
"“That is an isolated narrative,” he said, “and others besides you would reject it from me, and others besides me would reject it from you. There are also those besides me who have a point in regard to it that they would like to ask you about.” But you and I, I queried, are among those who consider it confirmed? “Yes,” he replied.","فقال: هذه رواية منفردة، يردُّها علي وعليك غيري وغيرك، ولغيري عليك فيها موضعُ مطالبة.
قلت: نحن وأنت ممن يثبتها؟
قال: نعم."
"Those who reject it, I continued, know what we have already noted about its confirmation and other matters. So what is the point about which they want to ask me? “God’s Emissary,” he said, “in something narrated about legal interpretation, called it ‘mistaken’ and ‘correct.’” That particular authority does not support your argument, I said.","قلت: فالذين يردونها يعلمون ما وصفنا من تثبيتها وغيرِه.
قلت: فأين موضعُ المطالبة فيها؟
فقال: قد سمى رسول الله فيما رويتَ من الاجتهاد ""خطأً"" و ""صواباً""؟
فقلت: فذلك الحجةُ عليك."
"“How so?” Because the Prophet mentioned that one is rewarded more for one than for the other, and such a reward cannot be for something not allowed, and one is not rewarded for a mistake that is then excused.","قال: وكيف؟
قلت: إذ ذكر النبي أنه يثاب على أحدهما أكثرَ مما يُثاب على الآخر، ولا يكون الثواب فيما لا يسع، ولا الثواب في الخطأ الموضوع."
"This is because if that were the case, when someone was told, “Perform legal interpretation based on appearances” and he did so according to outward appearances, as he was commanded, and then erred but had his error excused, then it would have been most appropriate to punish him for the mistake—as far as we know, though God knows best.","لأنه لو كان إذا قيل له: اجتهد على الخطأ، فاجتهد على  الظاهر كما أُمر كان مخطئا خطأ مرفوعاً، كما قلت -: كانت العقوبة في الخطأ - فيما نُرى والله أعلم - أولى به،"
"The most one could do for him would be to forgive him, and it would be unlikely that he would receive a reward for what was not allowed for him to do. In this is an indication of what we have said, to wit, that he is only legally responsible for legal interpretation when making a ruling according to outward appearances, not in regard to what is unknowable, though God knows best.","وكان أكثرُ أمره أن يُغفر له، ولم يُشبه أن يكون له ثواب على خطأ لا يسعه. وفي هذا دليل على ما قلنا: أنه إنما كُلف في الحكم الاجتهادَ على الظاهر دون المغيَّب، والله أعلم."
"“That may be as you say,” he said, “but what is the meaning of ‘correct’ and ‘mistaken’?” It is just like facing the Kaaba, I said. Those who can actually see it get its direction correct with certainty, but those who are out of view from it must seek it, however far or near they may be from it, and some get it correct and some get it wrong.","قال: إن هذا ليحتمل أن يكون كما قلتَ، ولكن ما معنى ""صواب"" ""خطأ""؟
قلت له: مثل معنى استقبال الكعبة، يصيبها من رآها بإحاطة، ويتحراها من غابت عنه، بَعُدَ أو قَرُبَ منها، فيصيبها بعضٌ ويخطئها بعضٌ،"
"The same act of facing it can be both correct and mistaken, if by inquiring about “correct” and “mistaken” you intend that one say, “So-and-so correctly directed himself toward what he sought and did not mistake it, but another So-and-so directed himself toward what he sought in a way that was mistaken, even though he exerted himself greatly in seeking it.” “So it is,” he said.","فنفس التوجه يحتمل صواباً وخطأ، إذا قَصَدتَ بالإخبار عن الصواب والخطأ قَصْدَ أن يقول: فلان أصاب قَصْد ما طلب فلم يخطِئْه، وفلان أخطأ قصد ما طلب وقد جهِد في طلبه.
فقال: هذا هكذا،"
"“Do you think that one could describe legal interpretation as ‘correct’ in some other sense?” Yes, I replied, because one is only legally responsible for legal interpretation in regard to what is unknowable. If one engages in it, then one has achieved a correct result in regard to that for which he was legally responsible, which is being correct, in his view, on the basis of outward appearances. Only God knows the true state of affairs.","أفرأيت الاجتهاد، أيقال له ""صواب "" على غير هذا المعنى؟
قلت: نعم على أنه إنما كُلف فيما غاب عنه الاجتهادَ، فإذا فعل فقد أصاب بالإتيان بما كُلف، وهو صواب عنده على الظاهر، ولا يعلم الباطن إلا الله."
"We know that when two people disagree over the prayer-direction, even though they might achieve a correct result by means of legal interpretation, they are disagreeing in regard to their search for a specific object—and in that case they can never achieve both an objectively correct result and a correct result through legal interpretation. This is just as we have explained in regard to witnesses and other examples.","ونحن نعلم أن المختلفَين في القبلة، وإن أصابا بالاجتهاد إذا اختلفنا يريدانِ عيناً: لم يكونا مصيبَين للعين أبداً، ومصيبان في الاجتهاد. وهكذا ما وصفنا في الشهود وغيرهم."
"“Is it permissible to describe this as ‘correct’ in one sense but ‘mistaken’ in another?” he asked. Of course, I replied, for anything that is unknowable.","قال: أفيجوز أن يقال صواب على معنى، خطأ على الآخر؟ قلت: نعم، في كل ما كان مغيبا"
"“Can you provide an example of that for me?” he asked. I do not think that it can be clarified by anything stronger, I replied.","قال: أفتوجدني مثل هذا؟
قلت: ما أحسِب هذا يُوضَح بأقوى من هذا!"
"“Mention something else then,” he said. God made it lawful for us, I began, to marry women, two, three, or four each, or what our right hands possess, and He forbade to us our mothers, daughters, and sisters.","قال: فاذكر غيره؟
قلت: أحل الله لنا أن ننكح من النساء مثنى وثلاث ورباع وما ملكت أيماننا، وحرّم الأمهات والبنات والأخوات."
"“Of course,” he said. What if a man bought a female slave, I asked, and had her fulfill the waiting period for female slaves— would it be lawful for him to have sexual intercourse with her? “Yes,” he replied.","قال: نعم.
قلت: فلو أن رجلاً اشترى جارية، فاستبرأها أَيحَلُّ له إصابتها؟
قال: نعم."
"So, I continued, he has intercourse with her and she bears him children for a period, but then he learns that she is his sister. What view should one take about his situation then? “It was lawful until he learned who she was, and then it was not lawful for him to go back to her,” he replied.","قلت: فأصابها وولَدَت له دهراً، ثم علم أنها أختُه، كيف القول فيه؟
قال: كان ذلك حلالاً حتى علم بها، فلم يَحِل له أن يعود إليها."
"One would ask you, I went on, whether one woman could be lawful and unlawful for him without either of them having done anything to create a new situation.","قلت: فيقال لك في امرأة واحدة حلالٌ له حرامٌ عليه، بغير إحداث شيء أحدثه هو ولا أحدثَتْه؟"
"“As for what was objectively true but concealed,” he said, “she remained his sister for the whole time. But according to what was only apparently true, she was lawful to him as long as he did not know, but unlawful once he did know. Others would say that he sinned when he had intercourse with her, but the sin was lifted from him.”","قال: أما في المغيَّب فلم تزل أختَه أولاً وآخراً، وأما في الظاهر، فكانت له حلالاً ما لم يعلم، وعليه حرامٌ حين علم.
وقال: إن غيرنا ليقول: لم يزل آثماً بإصابتها، ولكنه مأثَم مرفوع عنه."
"God knows best which of the two is the case, I said, but they distinguished in regard to him between the ruling based on outward appearances and that based on the true state of affairs. They excused the legal interpreter’s sin in regard to appearances even though they might regard him as having been mistaken, but they did not excuse it for a deliberate mistake.","فقلت: الله اعلم، وأيَّهما كان، فقد فرَّقوا فيه بين حكم الظاهر والباطن، وألغوا المأثم عن المجتهد على الظاهر، وإن أخطأ عندهم، ولم يُلغوه عن العامد."
"“Yes,” he said. This is like a man, I added, who unknowingly engages in an incestuous marriage, or who marries a fifth wife after receiving a false report of the death of his fourth wife, and similar cases.","قال: أجل.
وقلت له: مَثَلُ هذا الرجل ينكح ذاتَ مَحرَم منه، ولا يعلم، وخامسةً وقد بلغته وفاة رابعة كانت زوجة له، وأشباهٌ لهذا."
"“Yes,” he said, “there are many such cases.” It is clear, I continued, for those among you who regard that narration as confirmed, that legal interpretation is only ever used to seek an extant but concealed object on the basis of indications, and that legal disagreement is allowed for those qualified to undertake legal interpretation.","قال: نعم أشباه هذا كثير.
فقال: إنه لَبَيِّن عند من يثبت الرواية منكم أنه لا يكون الاجتهاد أبداً إلا على طلب عينٍ قائمة مُغَيَّبة بدلالة، وأنه قد يسع الاختلاف مَن له الاجتهاد."
"“How is legal interpretation performed?” he asked. God (sublime His praise) bestowed intellects on mankind, I replied, and, by means of these, indicated to them how to distinguish between disparate things. He guided them to the truth by means of explicit texts and indications.","فقال: فكيف الاجتهاد؟
فقلت: إن الله جل ثناؤه مَنَّ على العباد بعقول، فدلهم بها على الفَرْق بين المختلف، وهداهم السبيل إلى الحق نصاً ودلالةً."
"“Give an example,” he requested. He set up the Sacred House for them, I replied, and commanded them to face it if they could see it and to seek after it if they were out of view from it.","قال: فَمَثِّل من ذلك شيئاً؟
قلت: نَصَبَ لهم البيت الحرام، وأمرهم بالتوجه إليه إذا رأوه، وتَأَخِّيه إذا غابوا عنه،"
"He created the heavens for them, and earth, sun, moon, stars, bodies of water, mountains, and winds. He said: «It is He who has placed the stars for you, for you to be guided by them in the darknesses of land and sea» and «And signs. And men can guide themselves by the stars.» He reported that they would find their way using stars and signs.","وخَلَقَ لهم سماء وأرضاً وشمساً وقمرا ونجوماً وبحاراً وجبالاً ورياحاً.
فقال: {وهو الذي جَعَلَ لكم النجومَ لتهتدوا بها في ظلمات البر ِّوالبحرِ} [الأنعام 97] وقال: {وعلاماتٍ وبالنجمِ هم يهتدون} [النحل 16] فأخبر أنهم يهتدون بالنجم والعلامات."
By His grace they knew the direction of the Sacred House with His help and assistance to them: Whoever could see it from where he was saw it.,"فكانوا يعرفون بمنِّه جهة البيت بمعونته لهم، وتوفيقه إياهم، بأن قد رآه من رآه منهم في مكانه،"
"Those who could see it then reported to those who could not, and those latter ones saw mountains toward which they could face, or a star by which to be guided, or the north or south wind, or the sun, whose place of rising and setting they knew, and whose location in relation to one praying in the evening they knew, and bodies of water, too.","وأخبر من رآه منهم من لم يره، وأبصر ما يُهتَدَى به إليه، من جَبَل يُقصد قَصده، أو نجمٍ يُؤْتمّ به وشمال وجنوبٍ، وشمسٍ يُعرف مَطلِعُها ومَغرِبها، وأين تكون من المصلَّى بالعشي، وبحورٍ كذلك."
"It was incumbent on them to take the trouble to discover the signs that indicated these things, using the intellects that He had placed in them, in order to seek the direction that faced that very object itself toward which He obliged them to turn.","وكان عليهم تَكَلف الدلالات بما خلق لهم من العقول التي رَكَّبها فيهم، ليقصدوا قصد التوجه للعين التي فرض عليهم استقبالها."
"If they sought it out by means of interpretation, using their intellects and their knowledge of those signs, after seeking assistance from God and desiring that He aid them, then they carried out what was incumbent on them.","فإذا طلبوها مجتهدين بعقولهم وعلمهم بالدلائل، بعد استعانة الله، والرغبةِ إليه في توفيقه، فقد أدَّوا ما عليهم."
"He stated clearly for them that He had obliged them to face toward the Sacred Mosque and that facing toward it meant to face in its general direction, not that one had to face the precise direction of the Sacred House in an objectively correct manner in every circumstance.","وأبان لهم أن فرْضَه عليهم التوجُّه شطر المسجد الحرام، والتوجه شطره لا إصابةُ البيت بكل حال. "
"I continued: If, however, it was not possible for them to know with certainty that they had faced the right direction, in the way someone who could actually see the Sacred House was able to do, then they had no right to say, “We face whatever direction we think best, without basing ourselves on any indication.”",ولم يكن لهم إذا كان لا تُمْكنهم الإحاطة في الصواب إمكانَ مَن عايَنَ البيت: أن يقولوا نتوجه حيث رأينا بلا دلالة.
Chapter on Subjective Reasoning,]باب الاستحسان[ 
"“This,” he said, “is as you say. Legal interpretation is only used to seek something, and that thing is an extant object sought by means of some indication that can be used to direct one to it, or by means of a comparison with another extant object.","قال: هذا كما قلتَ، والاجتهاد لا يكون إلا على مطلوب، والمطلوب لا يكون أبداً إلا على عين قائمة تُطلب بدلالةٍ  يُقصد بها إليها، أو تشبيهٍ على عين قائمة،"
"This clarifies that it is unlawful for anyone to opine on the basis of subjective reasoning if such reasoning contradicts a report, and a report from the Book or from Prophetic Practice is an object whose meaning the legal interpreter seeks in order to attain the correct answer, just as one who is distant from the Sacred House seeks its correct location or its direction by means of analogical reasoning.","وهذا يبين أن حراماً على أحد أن يقول بالاستحسان إذا خالف الاستحسانُ الخبرَ، والخبرُ - من الكتاب والسنة - عينٌ يتأخَّى معناها المجتهدُ ليصيبه، كما البيتُ يتأخَّاه مَن غاب عنه ليصيبه، أو قَصَدَه بالقياس،"
"No one may express an opinion except on the basis of legal interpretation, and legal interpretation is just as you have described, that is, the search for the true answer.” “Do you yourself,” he continued, “permit someone to say: ‘I employ subjective reasoning, without analogizing?’”","وأن ليس لأحد أن يقول إلا من جهة الاجتهاد، والاجتهادُ ما وصفتَ من طلب الحق. فهل تجيز أنت أن يقول الرجل: أستحسنُ بغير قياس؟"
"In my view, I replied, that is not permissible for anyone—though God knows best. Only scholars should express any such opinions at all, not others, and they should express opinions that are related to a report by following such a report, and in situations for which there is no report, by analogizing from a report.","فقلت: لا يجوز هذا عندي - والله أعلم - لأحد، وإنما كان لأهل العلم أن يقولوا دون غيرهم، لأن يقولوا في الخبر باتباعه فيما ليس فيه الخبرُ بالقياس على الخبر."
"If it were permissible to invalidate analogical reasoning, then it would be permissible for the rationalists, who are not scholars of religious knowledge, to express opinions concerning matters for which there is no report according to whatever answer they happen to have at hand based on subjective reasoning.",ولو جاز تعطيلُ القياس جاز لأهل العقولِ من غير أهل العلم أن يقولوا فيما ليس فيه خبر بما يحضرهم من الاستحسان.
"Opinions given on the basis of anything other than a report or analogical reasoning are impermissible because of what I have cited above from the Book of God and the Practice of His Emissary, and also because of what I have noted about analogical reasoning.","وإن القول بغير خبر ولا قياس لَغَير جائز، بما ذكرتُ من كتاب الله وسنة رسوله، ولا في القياس."
"As for the Book and Prophetic Practice, I explained, they indicate that if the Prophet commanded that one perform legal interpretation, then the sole purpose of such interpretation can be to search for something, and searching for something can only be done on the basis of actual indications. Those indications are an analogy. “What is the relationship,” he asked, “between analogical reasoning and the indications that you discussed above?”","فقال: أما الكتاب والسنة فيدلان على ذلك، لأنه إذا أمر النبي بالاجتهاد، فالاجتهاد أبداً لا يكون إلا على طلب شيء، وطلبُ الشيء لا يكون إلا بدلائل، والدلائلُ هي القياس، قال: فأين القياس مع الدلائل على ما وصفتَ؟"
"Consider the situation, I replied, in which one man injures another man’s slave. Scholars would not tell the man, “Determine the value of a male slave!” or “of a female slave!” unless he were an expert in the market so that he could make a valuation on the basis of two criteria: first, it must be done by considering information about the price of an equivalent slave on that day; second, that can only be accomplished by considering the slave in relation to others and reasoning analogically with respect to him. One does not tell the owner of a good to asses its value unless he is an expert.","قلت: ألا ترى أن أهل العلم إذا أصاب رجل لرجل عبداً لم يقولوا لرجل: أقم عبداً ولا أمةً إلا وهو خابرٌ بالسوق، ليُقيم معنيين: بما يُخبر كَم ثمنُ مثله في يومه؟ ولا يكون ذلك إلا بأن يَعتبر عليه بغيره، فيقيسه عليه، ولا يقال لصاحب سلعة: أقم إلا وهو خابرٌ."
"Neither is it permissible to tell someone who is a jurist and credible witness, but who has no knowledge of the value of slaves, “Determine the value of this male slave!” or “of this female slave!” or “of the wages of this worker!” because if he assesses the value any of those things using something dissimilar as an indication of the value, that would be arbitrary.","ولا يجوز أن يقال لفقيه عدلٍ غيرِ عالم بقِيَم الرقيق: أقم هذا العبدَ، ولا هذه الأمةَ ولا إجازةَ هذا العاملِ، لأنه إذا أقامه على غير مثال بدلالةٍ على قيمته كان متعسفاً."
"If that is so in regard to property of high value, and if it is easy to be mistaken in regard to the thing valued and the thing to which its value is compared, then what God has made lawful and unlawful is even more worthy of not having pronouncements made about it that are based on subjective reasoning.",فإذا كان هذا هكذا فيما تَقِلّ قيمته من المال ويَيْسُرُ الخطأ فيه على المُقَام له والمقام عليه -: كان حلالُ الله وحرامه أولى أن لا يقال فيهما بالتعسُّف والاستحسان.
Subjective reasoning is pure self-indulgence. Only a scholar familiar with revealed reports and cognizant of how to make comparisons using them should express opinions about such things.,"وإنما الاستحسان تلذُّذ. ولا يقول فيه إلا عالم بالأخبار، عاقلٌ للتشبيه عليها."
"If that is so, then scholars should not express any opinion in such cases except on the basis of religious knowledge—and the source of religious knowledge is a binding report—by means of an analogy from the indications of what is correct. Thus, the possessor of religious knowledge who either always follows a report itself or seeks what is tantamount to a report through analogical reasoning is just like one who either keeps to the direction of the Sacred House by actually seeing it or who seeks its direction by means of interpretation, using inferences based on signs.","وإذا كان هذا هكذا، كان على العالم أن لا يقول إلا من جهة العلم، - وجهةُ العلم الخبر اللازم - بالقياس بالدلائل على الصواب حتى يكون صاحب العلم أبداً متبعاً خبراً، وطالبَ الخبر بالقياس، كما يكون متبعَ البيت بالعِيان، وطالبً قصْدَه بالاستدلال بالأعلام مجتهداً."
"If such a person expresses an opinion that is not based on a binding report or an analogy, then that person is closer to sin than the one who expresses such an opinion without being a scholar in a situation in which nonscholars may permissibly express opinions.","ولو قال بلا خبر لازم وقياسٍ كان أقربَ من الإثم من الذي قال وهو غير عالم، وكان القول لغير أهل العلم جائزاً"
God did not allow anyone after His Emissary to express any opinions except on the basis of religious knowledge that had previously come into force.,"ولم يجعل الله لأحد بعد رسول الله أن يقول إلا من جهة علمٍ مضى قبله،"
"The basis of such knowledge remains the Book, Prophetic Practice, consensus, non-Prophetic reports, and analogical reasoning based on these that I have described above.","وجهةُ العلمِ بعدُ الكتابُ والسنةُ والإجماعُ والآثارُ، وما وصفتُ من القياس عليها."
"No one may reason analogically unless he has gained the qualifications that enable him to undertake such reasoning. These qualifications are knowledge of the rulings in God’s Book—His obligations, inculcation of manners, abrogation, unrestricted and restricted passages, and His guidance.","ولا يقيس إلا من جمع الآلةَ التي له القياسُ بها، وهي العلم بأحكام كتاب الله: فرضِه، وأدبِه، وناسخِه، ومنسوخِه، وعامِّه، وخاصِّه، وإرشاده."
"One draws inferences about what parts of it are subject to speculative interpretations by using the practices of God’s Emissary; if there is no such practice, then using the Muslims’ consensus; and if there is no consensus, then by reasoning analogically.","ويَستدل على ما احتمل التاويل منه بسنن رسول الله، فإذا لم يجد سنة فبإجماع المسلمين، فإن لم يكن إجماعٌ فبالقياس."
"No one may reason by analogy unless he knows the prior practices, the opinions of the forebears, the people’s consensus, their legal disagreements, and the Arabic language.","ولا يكون لأحد أن يقيس حتى يكون عالماً بما مضى قبله من السنن، وأقاويل السلف، وإجماع الناس، واختلافهم، ولسان العرب."
Neither may he draw an analogy unless he has a sound intellect and is able to distinguish among what is ambiguous. He should not rush to give an opinion without confirming it.,"ولا يكون له أن يقيس حتى يكون صحيح العقل، وحتى يفرِّق بين المشتبه، ولا يَعْجَلَ بالقول به دون التثبيت."
"He is not precluded from listening to those who disagree with him since he might, through listening, be reminded of something and thereby come to know something that had escaped him or find enhanced confirmation of the view that he believes to be correct.","ولا يمتنع من الاستماع ممن خالفه، لأنه قد يتنبه بالاستماع لترك الغفلة، ويزدادُ به تثبيتاً فيما اعتقده من الصواب."
"In this regard, it is incumbent on him to expend his utmost effort and to be honest with himself about whence he has the opinions that he professes and why he rejects what he does.","وعليه في ذلك بلوغُ غاية جهده، والإنصافُ من نفسه، حتى يعرف من أين قال ما يقول، وترك ما يترك."
"Also, he must not be more uneasy about the opinion he holds than about the one that contradicts it, so that he is convinced of the superiority of what he has adopted over that which he has rejected, God willing.","ولا يكون بما قال أَعنَى منه بما خالفه، حتى يعرف فضل ما يصير إليه على ما يترك، إن شاء الله."
"As for someone whose intellect is sound but has no knowledge of what we have listed, it is not lawful for him to express opinions that are based on analogies. It is not lawful because he does not know what may serve as the basis for analogical reasoning, just as it is not lawful for a jurist of sound mind to opine about the value of a dirham when he has no expertise in the currency market.","فأما مَن تمَّ عقله، ولم يكن عالماً بما وصفنا، فلا يحلُّ له أن يقول بقياس، وذلك أنه لا يعرف ما يقيس عليه، كما لا يحل لفقيه عاقل أن يقول في ثمن درهم ولا خبرة له بسوقه."
"Whoever has knowledge of what we have listed through memorization only, not through true understanding, may not express opinions on the basis of an analogy, since he might not be able to understand the underlying principles.","ومن كان عالماً بما وصفنا بالحفظ لا بحقيقة المعرفة: فليس له أن يقول أيضاً بقياس، لأنه قد يذهب عليه عَقْل المعاني."
"Similarly, if he is good at memorization but falls short in his intellect or in knowledge of the Arabic language, he may not reason by analogy because his understanding falls short of the competence that would make it permissible for someone to undertake analogical reasoning. We only ever allow such persons, though God knows best, to express opinions by following some precedent, not by making an analogy.","وكذلك لو كان حافظاً مقصِّرَ العقلِ، أو مقصِّراً عن علم لسان العرب: لم يكن له أن يقيس من قِبَلِ نقص عقله عن الآلة التي يجوز بها القياس. ولا نقول يَسَع - هذا والله أعلم - أن يقول أبداً إلا اتباعاً ولا قياساً."
"If someone were to say: “Mention some reports that one can use as the basis for analogical reasoning and explain how one draws analogies,” one would respond, God willing: One uses any ruling of God’s or of His Emissary’s for which there is some indication, or any other rulings of God’s or of His Emissary’s in which the ruling was made on the basis of a particular rationale: when a case arises for which there is no textually explicit ruling, one rules in regard to it in accordance with these prior cases for which a ruling exists, if it is covered by their rationale.","فإن قال قائل: فاذكر من الأخبار التي تقيس عليها، وكيف تقيس؟
قيل له إن شاء الله: كل حكم لله أو لرسوله وُجِدت عليه دلالة فيه أو في غيره من أحكام الله أو رسوله بأنه حُكِم به لمعنى من المعاني، فنزلت نازلة ليس فيها نص حكمٍ: حُكم فيها حكمُ النازلة المحكومِ فيها، إذا كانت في معناها.
"
"Analogical reasoning has several different types. While they are all subsumed under the term “analogy,” one must differentiate between the two main types in regard to their starting point, their underlying basis for comparison, or both. Also, one of the two types is clearer than the other.","والقياس وجوه يجمعها ""القياس ""، ويتفرَّق [ص:513] بها ابتداءُ قياسِ كل واحد منهما، أو مصدرُه، أو هما، وبعضُهما أوضحُ من بعض.
"
"The strongest type of analogy is when God, in His Book, or God’s Emissary forbids a little of something.","فأقوى القياس أن يحرِّم الله في كتابه أو يحرم رسول الله القليل من الشيء،"
"It is understood that since a little of it is forbidden, then a large amount of it would be like a little of it with respect to being forbidden, or even more so, because of the superior inferential relationship of the greater to the lesser amount.","فيُعْلمَ أن قليله إذا حُرِّم كان كثيره مثلَ قليله في التحريم أو أكثرَ، بفضل الكثرة على القلة.
"
"Similarly, if it were praiseworthy to be obedient in a small way, then to do so in a greater way would be even more deserving of praise.","وكذلك إذا ُحمِد على يسير من الطاعة، كان ما هو أكثرُ منها أولى أن ُيحمد عليه.
"
"Also, if God permitted a large amount of something, then a lesser amount of it should be even more permissible.
","وكذلك إذا أباح كثيرَ شيء كان الأقل منه أولى أن يكون مباحاً.
"
"If someone were to say: “Mention an example of each of these types that will clarify their nature for us,” I would reply: God’s Emissary said: “God made the blood and property of a believer unlawful to other persons, and He also made it unlawful that people think anything but good of a believer.”","فإن قال: فاذكر من كل واحد من هذا شيئاً يبين لنا ما في معناه؟
[ص:514] قلت: قال رسول الله: ""إن الله حرّم من المؤمن دمه وماله، وأن يُظَن به إلا خيراً""  
"
"Because he forbade that one hold any but good opinions about individual believers, and also forbade that one express any bad opinions about them publicly, then any opinion that goes beyond a publicly expressed bad opinion, such as stating that a believer had uttered an explicit falsehood, would be more deserving of being declared unlawful, and the more one exceeded that, the more unlawful it would be.
","فإذا حرّم أن يُظن به ظناً مخالفاً للخير يُظهره: كان ما هو أكثر من الظن المُظهَر ظناً من التصريح له [ص:515] بقول غير الحق أولى أن يحُرَّم، ثم كيف ما زِيد في ذلك كان أحرَم. َ
"
"God said: «Whoever does an atom’s weight of good will see it.
Whoever does an atom’s weight of evil will see it.» Whatever is more than an atom’s weight of good is more praiseworthy, and whatever is more than an atom’s weight of evil is more grievously sinful.
","قال الله: {فمَن يعملْ مثقالَ ذَرَّةٍ خيراً يَرَهُ، ومَن يعملْ مثقالَ ذرَّة شراً يَرَهُ} [الزلزلة 7، 8]
فكان ما هو أكثر من مثقال ذرة من الخير أحمَدَ، وما هو أكثر من مثقال ذرةٍ من الشر أعظمَ في المأثم.
"
