THE,كتاب الأموال
,
This does not negate the first new.,"وَلَيْسَ هَذَا بِرَادٍّ لِلْأَمْرِ الْأَوَّلِ،"
These situations are to be seen within the context of the principle of abrogation operating within the traditions of the Messenger of God (pbuh) and even within the Qur’an.,"وَلَكِنَّهُمَا جَمِيعًا قَدْ كَانَا وَإِنَّمَا حَدِيثُ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ نَاسِخٌ وَمَنْسُوخٌ كَالتَّنْزِيلِ، "
,
A sunna cannot be abrogated by a sunna like it or by the text of the Qur’an.,"وَلَيْسَ يَنْسَخُ سُنَّتَهُ إِلَّا سُنَّةٌ لَهُ أُخْرَى [ص:275] أَوْ تَنْزِيلٌ، "
,
The denial by the Messenger of God (pbuh) of a share in the spoils and booty to persons who did not migrate is a principle that applies to the early stage of Islam.,"فَكَانَ مَنْعُهُ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مِنْ مَنَعَ مِنَ الْغَنِيمَةِ وَالْفَيْءِ، إِذْ تَرَكُوا الْهِجْرَةَ: هُوَ الْأَصْلُ الَّذِي كَانَ عَلَيْهِ بَدْءُ الْإِسْلَامِ، "
,
"The distinction between those who emigrated and those who did not was drawn for purposes of guardianship, inheritance, marriage as well as booty.",وَإِذْ كَانَتِ الْهِجْرَةُ تُفَرِّقُ بَيْنَ حُكْمِ الْمُهَاجِرِينَ وَبَيْنَ مَنْ لَمْ يُهَاجِرْ فِي الْوَلَايَةِ وَالْمَوَارِيثِ وَالْمُنَاكَحَةِ وَالْفَيْءِ
This was laid down by the Qur’an as well as the Sunna.,"نَزَلَ بِذَلِكَ الْكِتَابُ، وَجَرَتْ بِهِ السُّنَّةُ،"
"The Sunna laid down that “they do not have a share in the spoils or booty”, while the Qur’an laid down that “As to those who believed but did not emigrate ye owe no duty of protection to them until they emigrate”.",فَأَمَّا السُّنَّةُ فَقَوْلُهُ: وَلَيْسَ لَهُمْ فِي الْغَنِيمَةِ وَالْفَيْءِ شَيْءٌ وَأَمَّا التَّنْزِيلُ فَقَوْلُهُ: {وَالَّذِينَ آمَنُوا وَلَمْ يُهَاجِرُوا مَا لَكُمْ مِنْ وَلَايَتِهِمْ مِنْ شَيْءٍ حَتَّى يُهَاجِرُوا} [الأنفال: 72]
,
"(539) Hajjaj related to us from Ibn Jurayj and 'Uthman ibn 'Ata’ with both relating from 'Ata’ al-Khurasani from Ibn 'Abbas about the words of the Exalted: Those who believed and emigrated and fought for the faith with their property and their persons, in the cause of God, as well as those who gave (them) asylum and aid: these are all friends and protectors, one of another.","527 - حَدَّثَنَا حَجَّاجٌ، عَنِ ابْنِ جُرَيْجٍ، وَعُثْمَانِ بْنِ عَطَاءٍ، كِلَاهُمَا، عَنْ عَطَاءٍ الْخُرَاسَانِيِّ، عَنِ ابْنِ عَبَّاسِ، فِي قَوْلِهِ: {إِنَّ الَّذِينَ آمَنُوا وَهَاجَرُوا وَجَاهَدُوا بِأَمْوَالِهِمْ وَأَنْفُسِهِمْ فِي سَبِيلِ اللَّهِ وَالَّذِينَ آوَوْا وَنَصَرُوا أُولَئِكَ بَعْضُهُمْ أَوْلِيَاءُ بَعْضٍ"
As to those who believed but did not emigrate ye owe no duty of protection to them until they emigrate.,وَالَّذِينَ آمَنُوا وَلَمْ يُهَاجِرُوا مَا لَكُمْ مِنْ وَلَايَتِهِمْ مِنْ شَيْءٍ حَتَّى يُهَاجِرُوا} [الأنفال: 72]
He (Ibn 'Abbas) said that a Muhajir could not inherit from a believing resident of the countryside nor did the resident of the countryside inherit from a Muhajir.,"قَالَ: كَانَ الْمُهَاجِرُ لَا يَرِثُ الْأَعْرَابِيَّ وَهُوَ مُؤْمِنٌ، وَلَا يَرِثُ الْأَعْرَابِيُّ الْمُهَاجِرَ،"
"This rule was abrogated by the verse: “And those who accept faith subsequently, and emigrate, and fight for the faith in your company — they are of you.",فَنَسَخَتْهَا هَذِهِ الْآيَةُ: 
But kindred by blood have prior rights against each other in the Book of God.,{وَأُولُو الْأَرْحَامِ بَعْضُهُمْ أَوْلَى بِبَعْضٍ فِي كِتَابِ اللَّهِ} [الأحزاب: 6]
"(540) 'Abd Allah ibn Salih related to us from al-Layth from Ynnus ibn Yazid from Ibn Shihab, who said: 'A1I ibn Husayn reported to me that (Amr ibn 'Uthman informed him about Usama ibn Zayd that he said to the Prophet (pbuh), when he arrived in Makka, “Will you stay at your own house?” He replied: “Did 'Aqil leave us a residence or a house?” He said that 'Aqil had inherited Abu Talib, but Ja‘far and ‘Ali did not inherit from him, because they were Muslims and ‘Aqil and Abu Talib were unbelievers.","528 - حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ، عَنْ يُونُسَ بْنِ يَزِيدَ، عَنِ ابْنِ شِهَابٍ، قَالَ: أَخْبَرَنِي عَلِيُّ بْنُ حُسَيْنٍ، أَنَّ عَمْرَو بْنَ عُثْمَانَ، أَخْبَرَهُ، عَنْ أُسَامَةَ بْنِ زَيْدٍ، أَنَّهُ قَالَ لِلنَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ حِينَ قَدِمَ مَكَّةَ: أَتَنْزِلُ فِي دَارِكَ؟ فَقَالَ: «وَهَلْ تَرَكَ لَنَا عَقِيلٌ مِنْ رِبَاعٍ، أَوْ دُورٌ؟» قَالَ وَكَانَ عَقِيلٌ وَرِثَ أَبَا طَالِبٍ، وَلَمْ يَرِثْهُ جَعْفَرٌ وَلَا عَلِيٌّ؛ لِأَنَّهُمَا كَأَنَّا مُسْلِمَيْنِ وَكَانَ عَقِيلٌ وَطَالِبٌ كَافِرَيْنِ [ص:276]"
He said: It was for this reason that ‘Umar ibn al-Khattab used to say: “A believer does not inherit from an unbeliever nor an unbeliever from a believer.,"قَالَ: فَكَانَ عُمَرُ بْنُ الْخَطَّابِ مِنْ أَجْلِ ذَلِكَ، يَقُولُ: لَا يَرِثُ الْمُؤْمِنُ الْكَافِرَ، وَلَا الْكَافِرُ الْمُؤْمِنَ"
"They used to rely on the following verses for their reasoning: Those who believed and emigrated and fought for the faith with their property and their persons, in the cause of God, as well as those who gave (them) asylum and aid: these are all friends and protectors, one of another.",وَكَانُوا يَتَأَوَّلُونَ فِي ذَلِكَ هَذِهِ الْآيَةِ {إِنَّ الَّذِينَ آمَنُوا وَهَاجَرُوا وَجَاهِدُوا بِأَمْوَالِهِمْ وَأَنْفُسِهِمْ فِي سَبِيلِ اللَّهِ وَالَّذِينَ آوَوْا وَنَصَرُوا أُولَئِكَ بَعْضُهُمْ أَوْلِيَاءُ بَعْضٍ
As to those who believed but did not emigrate ye owe no duty of protection to them until they emigrate.,وَالَّذِينَ آمَنُوا وَلَمْ يُهَاجِرُوا مَا لَكُمْ مِنْ وَلَايَتِهِمْ مِنْ شَيْءٍ حَتَّى يُهَاجِرُوا
"But if they seek your aid in religion, it is your duty to help them, except against a people with whom you have a treaty of mutual alliance.",وَإِنِ اسْتَنْصَرُوكُمْ فِي الدِّينِ فَعَلَيْكُمُ النَّصْرُ إِلَّا عَلَى قَوْمٍ بَيْنَكُمْ وَبَيْنَهُمْ مِيثَاقٌ
,
And (remember) God seeth all that ye do.,وَاللَّهُ بِمَا تَعْمَلُونَ بَصِيرٌ
"The unbelievers are protectors, one of another.",وَالَّذِينَ كَفَرُوا بَعْضُهُمْ أَوْلِيَاءُ بَعْضٍ
"Unless ye do this (protect each other), there would be tumult and oppression on earth, and great mischief.",إِلَّا تَفْعَلُوهُ تَكُنْ فِتْنَةٌ فِي الْأَرْضِ وَفَسَادٌ كَبِيرٌ} [الأنفال: 73] 
,
Abu 'Ubayd said: The meaning of this verse as applied to an unbeliever applies in the same way to a believer who has not migrated as regards guardianship and inheritance.,"قَالَ أَبُو عُبَيْدٍ: فَصَارَ تَأْوِيلُ هَذِهِ الْآيَةِ فِي الْكَافِرِ وَفِي الْمُؤْمِنِ الَّذِي لَمْ يُهَاجِرْ وَاحِدًا، فِي الْوَلَايَةِ وَالْمِيرَاثِ،"
"There is no difference between them, except providing help to the believer, because of the words of the Exalted, “it is your duty to help them”.",لَا فَرْقَ بَيْنَهُمَا إِلَّا فِي الِاسْتِنْصَارِ خَاصَّةً لِقَوْلِهِ: {فَعَلَيْكُمُ النَّصْرُ} [الأنفال: 72] .
,
(541) AbU 'Ubayd said: It is related from Ibn al-Zubayr that he interpreted it to mean tribal ties.,"قَالَ أَبُو عُبَيْدٍ: وَقَدْ رُوِيَ عَنِ ابْنِ الزُّبَيْرِ أَنَّهُ تَأَوَّلَهَا فِي الْعَصَبَاتِ،"
He said that people used to enter into contracts of inheritance.,قَالَ: كَانَ الرَّجُلُ يُعَاقِدُ الرَّجُلَ أَنْ يَرِثَهُ
"It was for this reason that the verse “But kindred by blood have prior rights against each other in the Book of God”,™ was revealed.",فَنَزَلَتْ: {وَأُولُو الْأَرْحَامِ بَعْضُهُمْ أَوْلَى بِبَعْضٍ} [الأحزاب: 6] .
,
"(542) Shurayh used to interpret it to mean distant kindred - that is, they would inherit and not the clients (with contracts).",530 - وَكَانَ شُرَيْحٌ يَتَأَوَّلُهَا فِي ذَوِي الْأَرْحَامِ: أَنَّهُمْ يَرِثُونَ دُونَ الْمَوَالِي؛
I heard Mu<adh ibn Mu^dh relate it from Ibn ‘Awn from Tsa ibn al-Harith from Ibn al-Zubayr and from Shurayh to this effect.,"سَمِعْتُ مُعَاذًا يُحَدِّثُ عَنِ ابْنِ عَوْنٍ، عَنْ عِيسَى بْنِ الْحَارِثِ، عَنِ ابْنِ الزُّبَيْرِ وَشُرَيْحٍ بِكَلَامٍ هَذَا مَعْنَاهُ."
"AbU 'Ubayd said: These are the three interpretations and, perhaps, the verse covers all three.","قَالَ أَبُو عُبَيْدٍ: فَهَذِهِ وُجُوهٌ ثَلَاثَةٌ مِنَ التَّأْوِيلِ، وَلَعَلَّ الْآيَةَ قَدْ جَمَعَتْهَا كُلَّهَا،"
This is elaborated by the opinions of Ibn ‘Abbas and the tradition of Usama ibn Zayd about the words of the Exalted:,إِلَّا أَنَّ الَّذِيَ يَدُلُّ عَلَيْهِ الْمَعْنَى قَوْلُ ابْنِ عَبَّاسٍ وَحَدِيثُ أُسَامَةَ بْنِ زَيْدٍ أَلَا تَسْمَعْ قَوْلَهُ:
"Those who believed and emigrated and fought for the faith with their property and their persons, in the cause of God, as well as those who gave (them) asylum and aid: these are all friends and protectors, one of another.",سقطتمنالنسخة
As to those who believed but did not emigrate ye owe no duty of protection to them until they emigrate.,{وَالَّذِينَ آمَنُوا وَلَمْ يُهَاجِرُوا مَا لَكُمْ مِنْ وَلَايَتِهِمْ مِنْ شَيْءٍ حَتَّى يُهَاجِرُوا} [الأنفال: 72]
The verse is clear and explicit about the fact that it is the emigration that distinguishes between the two rules.,فَهَذَا بَيِّنٌ وَاضِحٌ: أَنَّ الْهِجْرَةَ هِيَ الَّتِي فَرَّقَتْ بَيْنَ الْحُكْمَيْنِ
This is confirmed by another verse: Those who turn back as apostates after guidance was clearly shown to them.,وَيُصَدِّقُهُ آيَةٌ أُخْرَى [ص:277]: قَوْلُهُ: {إِنَّ الَّذِينَ ارْتَدُّوا عَلَى أَدْبَارِهِمْ مِنْ بَعْدِ مَا تَبَيَّنَ لَهُمُ الْهُدَى} [محمد: 25]
"(543) 'Abd al-Rahman related to us from Sufyan from Abu Ishaq, who said: “I heard 'Ubayd ibn 'Umayr mentioning the grave sins and reciting the Qur’an in support.","531 - حَدَّثَنَا عَبْدُ الرَّحْمَنِ، عَنْ سُفْيَانَ، عَنْ أَبِي إِسْحَاقَ، قَالَ: سَمِعْتُ عُبَيْدَ بْنَ عُمَيْرٍ، وَذَكَرَ الْكَبَائِرَ وَقَرَأَ بِهَا قُرْآنًا"
"Among these he mentioned ‘turning back to the countryside after emigration’ and recited the verse, ‘Those who turn back as apostates after guidance was clearly shown to them.",ثُمَّ ذَكَرَ فِيهَا وَالتَّعَرُّبَ بَعْدَ الْهِجْرَةِ وَقَرَأَ: {إِنَّ الَّذِينَ ارْتَدُّوا عَلَى أَدْبَارِهِمْ مِنْ بَعْدِ مَا تَبَيَّنَ} [محمد: 25]- (أَوْ بَيَّنَ) - {لَهُمُ الْهُدَى} [محمد: 25]
This is what 'Abd al-Rahman said in his statement.,هَكَذَا قَالَ عَبْدُ الرَّحْمَنِ فِي حَدِيثِهِ
"Abu 'Ubayd said: If the person giving up life as an immigrant is deemed an apostate, the rule for him as regards inheritance would be the same as that for an unbeliever who cannot inherit from a Muslim.","قَالَ أَبُو عُبَيْدٍ: فَإِذَا كَانَ التَّارِكُ لِلْهِجْرَةِ مُرْتَدًّا يَكُونُ حُكْمُهُ فِي الْمِيرَاثِ كَحُكْمِ الْكَافِرِ الَّذِي لَا يَرِثُ الْمُسْلِمَ،"
"This meaning is witnessed in the tradition of Usama ibn Zayd about the words of the Exalted, “As to those who believed but did not emigrate ye owe no duty of protection to them until they emigrate.",وَمِمَّا يَشْهَدُ عَلَى ذَلِكَ حَدِيثُ أُسَامَةَ بْنِ زَيْدٍ فِي قَوْلِهِ: {وَالَّذِينَ آمَنُوا وَلَمْ يُهَاجِرُوا مَا لَكُمْ مِنْ وَلَايَتِهِمْ مِنْ شَيْءٍ} [الأنفال: 72] .
,
"Abu 'Ubayd said: If the giving up of emigration severs the bonds of guardianship with those who have emigrated and it prohibits the heir from inheriting, then, it applies even more emphatically to participation in booty.","قَالَ أَبُو عُبَيْدٍ: فَإِذَا كَانَ تَرْكُ الْهِجْرَةِ يَقْطَعُ الْوَلَايَةَ مِمَّنْ هَاجَرَ، وَيَحْرُمُ الْوَارِثَ مِيرَاثَهُ، فَهُوَ مِنَ الْمُشَارَكَةِ فِي الْفَيْءِ أَبْعَدُ،"
This was the rule till it was abrogated by the verse: “But kindred by blood have prior rights against each other in the Book of God.,فَكَانَ ذَلِكَ حَتَّى نَسَخَهُ اللَّهُ بِقَوْلِهِ: {وَأُولُو الْأَرْحَامِ بَعْضُهُمْ أَوْلَى بِبَعْضٍ} [الأحزاب: 6]
"Thus, when inheritance reverted to its usual rules, it became known that this was only due to their mutual guardianship; the Muslims became brothers and guardians to each other.","فَلَمَّا رَجَعَتِ الْمَوَارِيثُ إِلَى مَوَاضِعِهَا عُلِمَ أَنَّ ذَلِكَ لَمْ يَكُنْ إِلَّا بِالْوِلَايَةِ الَّتِي صَارَتْ بَيْنَهُمْ، فَعَادَ الْمُسْلِمُونَ كُلُّهُمْ إِخْوَةٌ أَوْلِيَاءُ،"
"” This is like the meaning of the verse, “The believers are but a single brotherhood”,’ and the verse, “The believers, men and women, are guardians one of another”.",كَمَا قَالَ اللَّهُ تَبَارَكَ وَتَعَالَى: {إِنَّمَا الْمُؤْمِنُونَ إِخْوَةٌ} [الحجرات: 10] وَكَمَا قَالَ: {وَالْمُؤْمِنُونَ وَالْمُؤْمِنَاتُ بَعْضُهُمْ [ص:278] أَوْلِيَاءُ بَعْضٍ} [التوبة: 71]
The rules applicable to them became similar to those for the Muslims and so did their rights and duties with respect to booty and other things.,"فَاسْتَوَتْ أَحْكَامُهُمْ، وَوَجَبَ لَهُمْ جَمِيعًا مَا وَجَبَ لِلْمُسْلِمِينَ، وَعَلَيْهِمْ مَا عَلَيْهِمْ مِنَ الْأُسْوَةِ فِي الْفَيْءِ وَغَيْرِهِ،"
"Those who live in settled areas, however, and who make a contribution to the cause of Islam, have a preference in proportion to their contribution.","إِلَّا أَنَّ لِأَهْلِ الْحَاضِرَةِ وَذَوِي الْغَنَاءِ عَنِ الْإِسْلَامِ الْفَضْلُ بِقَدْرِ غَنَائِهِمْ وَجَزْئِهِمْ عَنِ الْإِسْلَامِ،"
"We shall elaborate this, God willing, at a suitable occasion.",وَسَنُبَيِّنُ ذَلِكَ فِي مَوَاضِعِهِ إِنْ شَاءَ اللَّهُ.
(544) The confirmation of the fact that the rules for the later Muslims became the same as those for the earlier and that the legal effect of emigration was abrogated is to be found in the words of the Prophet (pbuh): “There is no emigration after the conquest (of Makka).,"532 - وَمِمَّا يُبَيِّنُ لَكَ أَنَّهُ قَدْ لَحِقَ آخِرُ الْمُسْلِمِينَ بِأَوَّلِهِمْ فِي الْحُكْمِ، وَأَنَّ الْهِجْرَةَ قَدْ نُسِخَتْ: قَوْلُ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ بَعْدَ فَتْحِ مَكَّةَ: لَا هِجْرَةَ بَعْدَ الْفَتْحِ."
,
There are a number of reports about this.,وَفِي ذَلِكَ آثَارٌ كَثِيرَةٌ
"(545) Hajjaj related to us from Ibn Jurayj, who said: “'Amr ibn Dinar reported to me from Tawas that it used to be transmitted from the Messenger of God (pbuh) that he said: ‘Settle down in your places of abode, because the emigration has come to an end.","533 - حَدَّثَنَا حَجَّاجٌ، عَنِ ابْنِ جُرَيْجٍ، قَالَ: أَخْبَرَنِي عَمْرُو بْنُ دِينَارٍ، عَنْ طَاوُسٍ، أَنَّهُ كَانَ يَأْثُرُ عَنْ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ أَنَّهُ قَالَ: اسْتَقِرُّوا عَلَى سَكَنَاتِكُمْ، فَقَدِ انْقَطَعَتِ الْهِجْرَةُ،"
"The jihad and the resolve (to move) continue, however, and when a call is made on you start moving.","وَلَكِنْ جِهَادٌ وَنِيَّةٌ، وَإِذَا اسْتُنْفِرْتُمْ فَانْفِرُوا"
,
"(546) 'Umar ibn 'Abd al-RahmSn al-Abar related to us from MansOr ibn al-Mu'tamar from Mujahid from Tawas from Ibn 'Abbas, who said: “The Messenger of God (pbuh) said that there is no emigration after the conquest (of Makka).","534 - وَحَدَّثَنَا عُمَرُ بْنُ عَبْدِ الرَّحْمَنِ الْأَبَّارُ، حَدَّثَنَا مَنْصُورُ بْنُ الْمُعْتَمِرِ، عَنْ مُجَاهِدٍ، عَنْ طَاوُسٍ، عَنِ ابْنِ عَبَّاسٍ، قَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «لَا هِجْرَةَ بَعْدَ الْفَتْحِ"
"The jihad and the resolve (to move) continue, however, and when a call is made on you start moving.","وَلَكِنْ جِهَادٌ وَنِيَّةٌ، وَإِذَا اسْتُنْفِرْتُمْ فَانْفِرُوا»"
,
"(547) Hisham ibn (Amm3r related to me from Yahya ibn Hamza from Muhammad ibn al-Walid al-Zubaydi from al-Zuhri from Salih ibn Bushayr ibn Fudayk that Fudayk came up to the Messenger of God (pbuh) and said: “O Messenger of God, some people are under the impression that those who did not emigrate have perished.","535 - وَحَدَّثَنِي هِشَامُ بْنُ عَمَّارٍ، عَنْ يَحْيَى بْنِ حَمْزَةَ، عَنْ مُحَمَّدِ بْنِ الْوَلِيدِ الزُّبَيْدِيِّ، عَنِ الزُّهْرِيِّ، عَنْ صَالِحِ بْنِ بَشِيرِ بْنِ فُدَيْكٍ، أَنَّ فُدَيْكًا أَتَى رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ [ص:279]، فَقَالَ: يَا رَسُولَ اللَّهِ، إِنَّ النَّاسَ يَزْعُمُونَ أَنَّ مَنْ لَمْ يُهَاجِرْ هَلَكَ،"
"The Messenger of God (pbuh) said: “O Fudayk, establish prayer and pay the poor-due, shun evil, and settle wherever you like in the land of your people.","فَقَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: يَا فُدَيْكُ أَقِمِ الصَّلَاةَ، وَآتِ الزَّكَاةَ، وَاهْجُرِ السُّوءَ، وَلْتَسْكُنْ مِنْ أَرْضِ قَوْمِكَ حَيْثُ شِئْتَ"
"AbU <'Ubayd said: There are many traditions about this, but they will add to the volume of the book.","قَالَ أَبُو عُبَيْدٍ: وَفِي هَذَا أَحَادِيثُ كَثِيرَةٌ، يَطُولُ بِهَا الْكِتَابُ"
We see that the Prophet (pbuh) set aside the obligation of the people to emigrate and granted them an exemption from it.,"فَأُرَاهُ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَدْ أَسْقَطَ الْهِجْرَةَ عَنِ النَّاسِ وَرَخَّصَ لَهُمْ فِي تَرْكِهَا،"
This is elaborated in a tradition from 'Aisha.,وَهُوَ مُفَسَّرٌ فِي حَدِيثٍ يُرْوَى عَنْ عَائِشَةَ
"(548) Ishaq ibn Tsa related to us from Yahya ibn Hamza from al-Awza'I from 'Ata\ who said: “I visited 'Aisha, along with 'Umayr ibn 'Umayr, and asked her about the hijra, and she said, ‘There is no emigration today.","536 - حَدَّثَنَا إِسْحَاقُ بْنُ عِيسَى، عَنْ يَحْيَى بْنِ حَمْزَةَ، عَنِ الْأَوْزَاعِيِّ، عَنْ عَطَاءٍ: زُرْتُ عَائِشَةَ مَعَ عُبَيْدِ بْنِ عُمَيْرٍ، فَسَأَلْتُهَا عَنِ الْهِجْرَةِ، فَقَالَتْ: وَلَا هِجْرَةَ الْيَوْمَ،"
A believer used to run for protection towards God and His Messenger for fear that he would be in trouble because of his religion.,"كَانَ الْمُؤْمِنُ يَفِرُّ بِدِينِهِ إِلَى اللَّهِ وَرَسُولِهِ مَخَافَةً أَنْ يُفْتَنَ عَنْهُ،"
"Today, Islam has acquired a dominant position and a believer may worship God as he likes.","فَأَمَّا الْيَوْمَ فَقَدْ أَظْهَرَ اللَّهُ الْإِسْلَامَ فَالْمُؤْمِنُ الْيَوْمَ يَعْبُدُ اللَّهَ حَيْثُ شَاءَ،"
The jihad and the sunnalb are still operative.,وَلَكِنْ جِهَادٌ وَسُنَّةٌ
(549) Abu 'Ubayd said: Another meaning is related from the Prophet (pbuh).,537 - قَالَ أَبُو عُبَيْدٍ: وَقَدْ رُوِيَ عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فِي هَذَا وَجْهٌ آخَرُ:
He said: “The hijra does not cease as long as the unbelievers are to be fought.,أَنَّهُ قَالَ: لَا تَنْقَطِعُ الْهِجْرَةُ مَا قُوتِلَ الْكُفَّارُ.
"The interpretation of these words, in my view, is that he who has believed and has participated in the jihad is in the same position as that of the Muhajirun for purposes of preference and legal rules, even though he resides in his land.","فَوَجْهُ ذَلِكَ عِنْدِي أَنَّهُ يَقُولُ: كُلُّ مَنْ آمَنَ وَجَاهَدَ فَهُوَ لَاحِقٌ بِالْمُهَاجِرِينَ فِي الْفَضِيلَةِ، وَالْأَحْكَامِ، وَإِنْ كَانَ فِي بَلَدِهِ"
It is not binding on him to emigrate to the territory of the Muhajirun.,وَلَيْسَ عَلَى الْوُجُوبِ لِلْهِجْرَةِ إِلَى دَارِ الْمُهَاجِرِينَ 
This becomes obvious in another tradition from him.,وَهَذَا بَيِّنٌ فِي حَدِيثِ آخَرَ
"(550) Muhammad ibn Ja'far related to us from Shu^a from 'Amr ibn Murra from 'Abd Allah ibn al-Harith from Abu Kathir al-Zubaydi - Zuhayr ibn al-Aqmar - from 'Abd Allah ibn (Amr from the Prophet (pbuh), who said: “Emigration is of two types: the emigration of the resident of the countryside and the emigration of the resident of a settled area.","538 - حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ، حَدَّثَنَا شُعْبَةُ، عَنْ عَمْرِو بْنِ مُرَّةَ، عَنْ عَبْدِ اللَّهِ بْنِ الْحَارِثِ، عَنْ أَبِي كَثِيرٍ الزُّبَيْدِيِّ زُهَيْرِ بْنِ الْأَقْمَرِ، عَنْ عَبْدِ اللَّهِ بْنِ عَمْرٍو، عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: "" الْهِجْرَةُ هِجْرَتَانِ: هِجْرَةُ الْبَادِي، وَهِجْرَةُ الْحَاضِرِ،"
The emigration of the resident of the countryside is that it is obligatory on him to respond when called upon and to obey when ordered.,"فَأَمَّا هِجْرَةُ الْبَادِي فَعَلَيْهِ أَنْ يُجِيبَ إِذَا دُعِيَ وَأَنْ يُطِيعَ إِذَا أُمِرَ،"
"As for the emigration of the resident of a settled area, it is harder of the two and has a greater reward.","وَأَمَّا هِجْرَةُ الْحَاضِرِ فَهِيَ أَشَدُّهُمَا بَلِيَّةً، وَأَعْظَمُهُمَا أَجْرًا"""
"(551) Sa'id ibn 'Ufayr related to me saying: SulaymSn ibn Bilal related to me from 'Abd al-Rahman ibn Harmala, who said: “I heard 'Abd Allah ibn Niyar al-Aslaml saying: T heard 'Urwa ibn al-Zubayr relating from 'Aisha that the Messenger of God (pbuh) upon Aisha’s mentioning the dwellers of the desert said: “O ^A’isha, they are not the dwellers of the desert, but the residents of our countryside and we are the residents of their cities.","539 - حَدَّثَنِي سَعِيدُ بْنُ عُفَيْرٍ، قَالَ: حَدَّثَنِي سُلَيْمَانُ بْنُ بِلَالٍ، عَنْ عَبْدِ الرَّحْمَنِ بْنِ حَرْمَلَةَ، قَالَ: سَمِعْتُ عَبْدَ اللَّهِ بْنَ نِيَارٍ الْأَسْلَمِيَّ، يَقُولُ: سَمِعْتُ عُرْوَةَ بْنَ الزُّبَيْرِ، يُحَدِّثُ عَنْ عَائِشَةَ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ - وَذَكَرَتْ عَائِشَةُ عِنْدَهُ الْأَعْرَابَ - فَقَالَ: يَا عَائِشَةُ لَيْسُوا بِأَعْرَابٍ، هُمْ أَهْلُ بَادِيَتِنَا، وَنَحْنُ أَهْلُ حَاضِرَتِهِمْ، "
,
"When they are called upon they respond, so they are not the desert Arabs.","فَإِذَا دُعُوا أَجَابُوا، فَلَيْسُوا بِأَعْرَابٍ"
,
"Abu 'Ubayd said: In my view, the Messenger of God (pbuh) applied the term hijra to them due to their faith, although they reside in their own areas.","قَالَ أَبُو عُبَيْدٍ: فَأُرَاهُ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَدْ أَوْجَبَ لَهُمُ اسْمَ الْهِجْرَةِ بِالْإِيمَانِ، وَإِنْ كَانُوا فِي مَوَاضِعِهِمْ،"
"The residents of the cities, however, have preference because of what I have conveyed to you.","إِلَّا أَنَّ لِأَهْلِ الْحَاضِرِ فَضِيلَتَهُمْ كَمَا أَعْلَمْتُكَ،"
It also shows that they have rights along with the Muslims if they make a claim.,"فَهَذَا مِمَّا يُبَيَّنُ لَكَ أَنَّ لَهُمْ مَعَ الْمُسْلِمِينَ حَقًّا إِذَا احْتَاجُوا إِلَى ذَلِكَ،"
"This right may be more or it may be less, and its quantity will depend on the discretion of the ruler.","قَلَّ ذَلِكَ الْحَقُّ أَوْ كَثُرَ، إِنَّمَا هُوَ بِقَدْرِ مَا يَرَى الْإِمَامُ،"
This is confirmed and elaborated by a tradition from the Prophet (pbuh).,وَمِمَّا يُصَدِّقُ ذَلِكَ وَيُوَضِّحُهُ حَدِيثُ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ
,
