Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
It is possible to bring about something dangerous by trying to guard against it.,رب مخوف كان التحرز منه سبب وقوعه.
It is possible to let out a secret by trying to hard to keep it.,ورب سر كانت المبالغة في طيه سبب انتشاره.
Sometimes it is better to avoid a subject to raise doubts by dwelling on it.,ورب إعراض أبلغ في الاسترابة من إدامة النظر.
In each of these cases the harm comes from overdoing it and going beyond the boundaries of the happy medium.,وأصل ذلك كله الإفراط الخارج عن حد الاعتدال.
"Virtue is the medium between the two extremes [the “too much” and the “too little”]. These two extremes are to be criticised – and virtue, lying between them, is to be praised – except when it is a question of intelligence, and then there can be no excess.",الفضيلة وسيطة بين الإفراط والتفريط فكلا الطرفين مذموم والفضيلة بينهما محمودة حاشا العقل فإنه لا إفراط فيه.
It is better to sin by being too strict than by being too soft.,الخطأ في الحزم خير من الخطأ في التضييع.
"It is astonishing to see that virtue is regarded as lovely but difficult, and vice as awful but easy to commit.",من العجائب أن الفضائل مستحسنة ومستثقلة والرذائل مستقبحة ومستخفة.
A person who wishes to be fair should put himself in his adversary’s position. He will then see the unfairness of his own behaviour.,من أراد الإنصاف فليتوهم نفسه مكان خصمه فإنه يلوح له وجه تعسفه.
The definition of strictness consists of being able to distinguish a friend from an enemy. The height of stupidity and weakness is the inability to distinguish one’s enemy from one’s friend.,حد الحزم معرفة الصديق من العدو وغاية الخرق والضعف جهل العدو من الصديق.
"Do not deliver your enemy to an oppressor, and do not oppress him yourself. Treat him as you would treat your friend, except for trusting him. Be careful not to mix with him or help him rise socially; that would be the behaviour of a fool.",لا تسلم عدوك لظلم ولا تظلمه وساو في ذلك بينه وبين الصديق وتحفظ منه وإياك وتقريبه وإعلاء قدره فإن هذا من فعل النوكى.
"Anyone who treats his enemy as equal to his friend in closeness and in promoting his position only succeeds in making people avoid his friendship and they find it just as easy to be his enemies. He will only win the disrespect of his enemy by handing him his vulnerable places, and he will lose his friend, since the latter will join the ranks of his adversaries.",من ساوى بين عدوه وصديقه في التقريب والرفعة فلم يزد على أن زهد الناس في مودته وسهل عليهم عداوته ولم يزد على استخفاف عدوه له وتمكنه من مقاتله وإفساد صديقه على نفسه وإلحاقه بجملة أعدائه.
"The greatest of good deeds is to refrain from punishing your enemy and from handing him over to an oppressor. As for mixing with him, that is the mark of fools who will soon be lost.",غاية الخير أن يسلم عدوك من ظلمك ومن تركك إياه للظلم وأما تقريبه فمن شيم النوكى الذين قد قرب منهم التلف.
"The worst evil is to oppress your friend. As for keeping him away from yourself, that would be the action of a man without spirit and destined to misfortune.",وغاية الشر أن لا يسلم صديقك من ظلمك وأما إبعاده فمن فعل من لا عقل له ومن كتب عليه الشقاء.
Magnanimity consists not of mingling with our enemies but of showing mercy to them while still not trusting them.,ليس الحلم تقريب الأعداء ولكنه مسالمتهم مع التحفظ منهم.
"How many men have we not seen take pride in their possessions and so be lost! Guard against this attitude, it is really harmful and completely useless.",كم رأينا من فاخر بما عنده من المتاع فكان ذلك سببًا لهلاكه فإياك وهذا الباب الذي هو ضر محض لا منفعة فيه أصلًا.
"How man men we have seen lost because of something they said. But we have never heard of anyone being lost because he kept silent. Therefore you should speak only to please your Creator; and if you fear that what you say will be abused, then keep silent.",كم شاهدنا ممن أهلكه كلامه ولم نر قط أحدًا ولا بلغنا أنه أهلكه سكوته فلا تتكلم إلا بما يقربك من خالقك فإن خفت ظالمًا فاسكت.
I have rarely seen a lost opportunity ever reoccur.,قلما رأيت أمرًا أمكن فضُيِّع إلا وفات فلم يمكن بعد.
"A man undergoes many trials during his life, but the worst are those inflicted by his fellow man.",محن الإنسان في دهره كثيرة وأعظمها محنته بأهل نوعه من الإنس.
The harm done by man to man is worse than the harm done by furious beasts and poisoned vipers for you cannot protect yourself at all against the human race.,داء الإنسان بالناس أعظم من دائه بالسباع الكلبة والأفاعي الضارية لأن التحفظ من كل ما ذكرنا ممكن ولا يمكن التحفظ من الإنس أصلًا.
"Hypocrisy is the thing which is most widespread among people and it is amazing to see that, despite this, people only like those who treat them hypocritically.",الغالب على الناس النفاق ومن العجب أنه لا يجوز مع ذلك عندهم إلا من نافقهم.
"If we said that characters are round like a globe because their extremes meet, we should not be far from the truth.",لو قال قائل: إن في الطبائع كُرِّيَّة لأن أطراف الأضداد تلتقي لم يبعد من الصدق.
"Indeed we see that the consequences of the two cries for sorrow; too much love makes one commit as many successive faults as excessive hatred does, and can cause estrangement if the loved one lacks patience and fairness.",وقد نجد نتائج الأضداد تتساوى: فنجد المرء يبكي من الفرح ومن الحزن ونجد فرط المودة يلتقي مع فرط البغضة في تتبع العثرات. وقد يكون ذلك سببًا للقطيعة عند عدم الصبر والإنصاف.
"If a man is dominated by a natural passion, then, however firm and sensible he is in other ways, he can be overcome if you attack this weak point.",كل من غلبت عليه طبيعة ما فإنه وإن بلغ الغاية من الحزم والحذر مصروع إذا كويد من قبلها.
An over-suspicious mind learns to tell lies: since he often needs to excuse himself by lying he is practised in it and finds it easy.,كثرة الريب تعلم صاحبها الكذب لكثرة ضرورته إلى الاعتذار بالكذب فيضرى عليه ويستسهله.
The most impartial witness against a man who is given to sincerity is his face; it clouds over as soon as he tells a lie or is about to do so.,أعدل الشهود على المطبوع على الصدق وجهُه لظهور الاسترابة عليه إن وقع في كذبة أو هم بها.
The most implacable witness against a liar is his own tongue; it gets twisted and contradicts itself.,وأعدل الشهود على الكذاب لسانه لاضطرابه ونقض بعض كلامه بعضًا.
It is a greater catastrophe to have an unfaithful friend than to lose him.,المصيبة في الصديق الناكث أعظم من المصيبة به.
"Those who show most horror when speaking out loud of shameful acts are those who are most apt to commit them. This can clearly be seen in the insolence offered by guttersnipes and the insults of vile men who have reached the nadir of vileness in practising vile professions. For example, those men and women who earn a living by playing the flute, sweeping out farmyards, workings as servants in abattoirs, those who frequent the [drinking houses] brothel authorized as meeting places of people of the lowest class or stable boys. Nobody abuses them more than they abuse themselves. More than anybody else they cry scandal when they wallow in it in the first place and have acquired the worst of reputations by it.",أشد الناس استعظامًا للعيوب بلسانه هو أشدهم استسهالًا لها بفعله ويتبين ذلك في مسافهات أهل البذاء ومشاتمات الأرذال البالغين غاية الرذالة من الصناعات الخسيسة من الرجال والنساء كأهل التعيش بالزمر وكنس الحشوش والخادمين في المجازر وكساكني دور الجمل المباحة لكراء الجماعات والساسة للدواب؛ فإن كل من ذكرنا أشد الخلق رميًا من بعضهم بالقبائح وأكثرهم عيبًا بالفضائح وهم أوغل الناس فيها وأشهرهم بها.
"Meetings make grudges melt away. One would think that when glances meet, hearts grow peaceful. Do not torture yourself if your friend meets your enemy, for the meeting will lessen the latter’s hatred towards you.",اللقاء يذهب بالسخائم فكأن نظر العين للعين يصلح القلوب فلا يسوؤك التقاء صديقك بعدوك فإن ذلك يفتر أمره عنده.
"The worst misfortunes that can come upon men are fear, anxiety, sickness and poverty. But the thing that makes the soul suffer most cruelty is the anxiety of losing what one loves and to see something happen that one hates. After this comes sickness, then fear, then poverty.","أشد الأشياء على الناس الخوف والهم والمرض والفقر وأشدها كلها إيلامًا للنفس الهم، للفقد من المحبوب وتوقع المكروه ثم المرض ثم الخوف ثم الفقر."
The proof of this is that people would willingly accept poverty to avoid the pains of illness. For a man quests ardently after health and does not count what he spends to recover it when he fears death. When his end is certain he would like to be able to give his entire fortune to be saved and cured.,ودليل ذلك أن الفقر يستعجل ليطرد به الخوف فيبذل المرء ماله كله ليأمن والخوف والفقر يستعجلان ليطرد بهما ألم المرض فيغرر الإنسان في طلب الصحة ويبذل ماله فيها إذا أشفق من الموت ويود عند تيقنه به لو بذل ماله كله ويسلم ويفيق.
"Fear is bearable when it drives off anxiety, for a man seeks with all his soul to drive away anxiety.",والخوف يستسهل ليطرد به الهم فيغرر المرء بنفسه ليطرد عنها الهم.
"The worst of all illnesses is pain that persists in one organ, always the same.",وأشد الأمراض كلها ألمًا وجع ملازم في عضو ما بعينه.
"But to be a well born spirit, humiliation is less bearable than all the misfortunes we have described. On the other hand, it is the one that knavish spirits fear the least.",وأما النفوس الكريمة فالذل عندها أشد من كل ما ذكرنا وهو أسهل المخوفات عند ذوي النفوس اللئيمة.
X) Curious Particularities of the Characteristics of the Soul,فصل: من غرائب أخلاق النفس
"A wise man should not judge by appearances when a sniveller cries for mercy, pretends that he is oppressed, complains, twists and turns and laments.",ينبغي للعاقل أن لا يحكم بما يبدو له من استرحام الباكي المتظلم وتشكيه وشدة تلويه وتقلبه وبكائه.
With a man who behaves like this I have become certain that he was the oppressor who went over the limit and committed excessive abuses.,فقد وقفت من بعض من يفعل هذا على يقين أنه الظالم المعتدي المفرط الظلم.
"And likewise I have seen a man bearing an injustice speak calmly without complaining and only displaying a little anxiety. At first glance, without further examination, you would have taken him for the oppressor. In cases such as this it is important to establish the facts, fight resolutely against our inclination to take sides, not incline towards or against such attitudes as we have described, and seek to be impartial to all, as we are obliged to by justice.",ورأيت بعض المظلومين ساكن الكلام معدوم التشكي مظهرًا لقلة المبالاة فيسبق إلى نفس من لا يحقق النظر أنه ظالم وهذا مكان ينبغي التثبت فيه ومغالبة ميل النفس جملة وإن لا يميل المرء مع الصفة التي ذكرنا ولا عليها ولكن يقصد الإنصاف بما يوجبه الحق على السواء.
"A curious thing about human nature is that carelessness is bad when it is good to know how to make use of it sometimes. This can only be explained by the fact that a man who is naturally inclined to carelessness, makes use of it when he should be vigilant. It is absentmindedness with no sense of reality. His carelessness belongs under the heading of ignorance and that is why it is bad.",من عجائب الأخلاق أن الغفلة مذمومة وإن استعمالها محمود وإنما ذلك لأن من هو مطبوع على الغفلة يستعملها في غير موضعها وفي حيث يجب التحفظ وهو مغيب عن فهم الحقيقة فدخلت تحت الجهل فذمت لذلك.
"On the other hand, a spirit which is vigilant by nature only makes use of carelessness for a good purpose when he should not study or research deeply into the subject. To pretend to ignore something in this case means to understand reality, to refuse to act precipitously, to use moderation and to prevent the worst happening. Thus it is praiseworthy to know how to pretend not to be listening, and bad to be naturally inattentive.",وأما المتيقظ الطبع فإنه لا يضع الغفلة إلا في موضعها الذي يذم فيه البحث والتقصي والتغافل فهمًا للحقيقة وإضرابًا عن الطيش واستعمالًا للحلم وتسكينًا للمكروه فلذلك حمدت حالة التغافل وذمت الغفلة.
"The same could be said about admitting one is afraid or concealing the fact. To make it obvious that one is troubled as soon as one begins to have difficulties is bad, because it means that you cannot control yourself and your display of emotion serves no useful purpose. Indeed, divine law counsels against it; it stops you doing what has to be done and to make the necessary arrangements in view of the events which one foresees and which may be more terrible than the present situation which has given risen to this fear.",وكذلك القول في إظهار الجزع وإبطانه وفي إظهار الصبر وإبطانه فإن إظهار الجزع عند حلول المصائب مذموم لأنه عجز مظهره عن ملك نفسه فأظهر أمرًا لا فائدة فيه بل هو مذموم في الشريعة وقاطع عما يلزم من الأعمال وعن التأهب لما يتوقع حلوله مما لعله أشنع من الأمر الواقع الذي عنه حدث الجزع.
"Now, given that it is wrong to let your fear be seen, the opposite is good, that is, to display patience, because that means you are in control of yourself, you have turned away from useless actions and towards actions which are profitable and useful both immediately and in the future.",فلما كان إظهار الجزع مذمومًا كان إظهار ضده محمودًا وهو إظهار الصبر لأنه ملك للنفس واطراح لما لا فائدة فيه وإقبال على ما يعود وينتفع به في الحال وفي المستأنف.
"As for hiding your patience, that is wrong too, since it would look as if you were unfeeling, hardhearted and lacking in mercy. These faults are found only among wicked people, vicious natures, cruel and vile souls.",وأما استبطان الصبر فمذموم لأنه ضعف في الحس وقسوة في النفس وقلة رحمة وهذه أخلاق سوء لا تكون إلا في أهل الشر وخبث الطبيعة وفي النفوس السبعية الرديئة.
"All this being very ugly, the opposite, which consists of concealing the fact that you are troubled, is praiseworthy because it is a mark of pity, gentleness, charity and compassion. Thus one can say that the happy medium, for a man, is to have a sensitive soul but an impassive body, that is to say that neither on his face or in his comportment should there be any sign that he is troubled.",فلما كان ما ذكرنا يقبح كان ضده محمودًا وهو استبطان الجزع لما في ذلك من الرحمة والشفقة والفهم بقدر الرزية فصح بهذا أن الاعتدال هو أن يكون المرء جزوع النفس صبور الجسد بمعنى أنه لا يظهر في وجهه ولا في جوارحه شيء من دلائل الجزع.
"If a man whose own judgement is poor only knew what harm his false calculations had brought upon him so far, he would find success in the future if he stopped relying on his own judgement, Allâh guide us.",ولو علم ذو الرأي الفاسد ما استضر به من فساد تدبيره في السالف لأنجح بتركه استعماله فيما يستأنف وبالله التوفيق.
"XI) A Man’s Desire to Know, What you Should Tell Him and Not Tell Him, and How to be Praised and Renowned",فصل في تطلع النفس إلى ما يستر عنها من كلام مسموع أو شيء يدني إلى المدح وبقاء الذكر
"There are longings from which hardly anyone is exempt, except a man whose thoughts are completely vile or one who has trained himself by a perfect system of discipline and has completely tamed the power of his angry soul. In order to cure the avid desire that the soul feels to seize information that one wants to conceal from it or to see an object that one wants to hide from him, you should think of all the things of the same kind which escape him in places where he has not been, let alone the most distant areas of the earth.",هذا أمران لا يكاد يسلم منهما أحد إلا ساقط الهمة جدًا أو من راض نفسه الرياضة التامة وقمع قوة نفسه الغضبية قمعًا كاملًا أو عانى مداواة شره النفس إلى سماع كلام تستر به عنها أو رؤية شيء أكتم به دونها أن يفكر فيما غاب عنها من هذا النوع في غير موضعه الذي هو فيه بل في أقطار الأرض المتباينة.
If the person worries about them he is completely mad and totally lacking in reason.,فإن اهتم بكل ذلك فهو مجنون تام الجنون عديم العقل ألبتة.
"[On the other hand] if he is not worried about these other things, is the thing hidden from him not the same as these things that do not worry him, absolutely identical in fact?",وإن لم يهتم لذلك فهل هذا الذي اختفي به عنه إلا كسائر ما غاب عنه منه سواء بسواء ولا فرق.
"He should multiply the arguments directed against his passion, and he should speak to his soul with the voice of reason, “O my soul, if you did not know that there was something there being hidden from you, do you think that you would worry about getting to know it?” There is no doubt that the answer would be “No.”",ثم لنزد احتجاجًا على هواه فليقل بلسان عقله لنفسه: يا نفس أرأيت إن لم تعلمي أن ههنا شيئًا أخفي عليك أكنت تطلعين إلى معرفة ذلك أم لا فلا بد من لا.
"Then he should say to his soul, “Act as if you did not know that there was something there being hidden from you. Then you can relax and you will be able to drive away your anxiety and calm your painful agitation and your hateful greed."" These are numerous victories, considerable gains, and noble ambitions to which a wise man aspires and which only someone totally lacking disdains.",فليقل لنفسه: فكوني الآن كما كنت تكونين لو لم تعلمي بأن ههنا شيئًا ستر عنك فتربحي الراحة وطرد الهم وألم القلق وقبح صفة الشره وتلك غنائم كثيرة وأرباح جليلة وأغراض فاضلة سنية يرغب العاقل فيها. ولا يزهد فيها إلا تام النقص.
"As for the man who has the ambition and the obsession to spread his fame to every country and to be remembered throughout the centuries, let him reflect and say to his soul:",وأما من علق وهمه وفكره بأن يبعد اسمه في البلاد ويبقى ذكره على الدهر فليفكر في نفسه وليقل لها:
"“O my soul, if you were gloriously famous in all the countries of the world, for all eternity and to the end of time, but if I was not told about it about it and if I knew nothing about it, do you think I would be happy or satisfied about it, yes or not?”",يا نفس أرأيت لو ذكرت بأفضل الذكر في جميع أقطار المعمور أبد الأبد إلى انقضاء الدهر ثم لم يبلغني ذلك ولا عرفت به أكان لي في ذلك سرور أو غبطة أم لا؟
"There is no doubt that the answer would be “No”, for any other answer would be impossible. Having convinced himself of this truth, the man must understand that when he is dead he will have no possibility of knowing whether he is famous or not. Moreover he would not know while he was still alive if nobody told him.","فلا بد من لا، ولا سبيل له إلى علم أنه يذكر أو أنه لا يذكر وكذلك إن كان حيًا إذا لم يبلغه."
He should also consider two important points.,ثم ليتفكر أيضًا في معنيين عظيمين:
"First, that there have been in earlier times a great number of virtuous Prophets and Messengers of God – God grant them His blessing – of whom nobody on the surface of the earth remembers the name, nor any trace, nor any memory, nor their history, nor the slightest thing about them.","أحدهما كثرة من خلا من الفضلاء من الأنبياء والرسل صلى الله عليهم وسلم أولًا، للذين لم يبق لهم على أديم الأرض عند أحد من الناس اسم ولا رسم ولا ذكر ولا خبر ولا أثر بوجه من الوجوه."
"Secondly, there have been, among the good and virtuous men who were the companions of the Prophets in ancient times, ascetics, philosophers, scholars, excellent men, kings of nations which have disappeared, founders of cities which are now deserted, courtesans of princes whose history has also not come down to us. Nobody knows anything about them nowadays and nobody has the slightest knowledge that they existed. Has that fact harmed any of them that were virtuous? Has it diminished their merit, destroyed their good deeds, has it lowered them in the eyes of their Almighty Creator?",ثم من الفضلاء الصالحين من أصحاب الأنبياء السالفين والزهاد ومن الفلاسفة والعلماء والأخيار وملوك الأمم الدائرة وبناة المدن الخالية وأتباع الملوك الذين أيضًا قد انقطعت أخبارهم ولم يبق لهم عند أحد علم ولا لأحد بهم معرفة أصلًا ألبتة فهل ضر من كان فاضلًا منهم ذلك أو نقص من فضائلهم أو طمس من محاسنهم أو حط درجتهم عند بارئهم عز وجل؟
"Let me tell anyone who did not already know it that there does not exist anywhere in the world the smallest scrap of information about any of the earthly sovereigns or the ancient generations who preceded men’s historical knowledge, which begins with the kings of Israel. And everything that we know of the history of the sovereigns of Greece and of Persia does not go back further than two thousand years. Where is the remembrance of the men who peopled the earth before them? Is it not, in fact, totally wiped out, disappeared, vanished, forgotten?",ومن جهل هذا الأمر فليعلم أنه ليس في شيء من الدنيا خبر عن ملوك من ملوك الأجيال السالفة أبعد مما بأيدي الناس من تاريخ ملوك بني إسرائيل فقط ثم ما بأيدينا من تاريخ ملوك اليونان والفرس وكل ذلك لا يتجاوز ألفي عام فأين ذكر من عمر الدنيا قبل هؤلاء أليس قد دثر وفني وانقطع ونسي ألبتة.
"This is why the Almighty has spoken of “Messengers of whom We have not told you the history at all” [Qur’ân 4:164] and God also said: “Many centuries in between,” [Qur’ân 25:38] and God also said: “Those who came after and who are known only to God” [Qur’ân 14:9].",وكذلك قال الله تعالى: {وَرُسُلًا لَمْ نَقْصُصْهُمْ عَلَيْكَ} [النساء: 164]. وقال تعالى: {وَقُرُونًا بَيْنَ ذَلِكَ كَثِيرًا} [الفرقان: 38]. وقال تعالى: {وَالَّذِينَ مِنْ بَعْدِهِمْ لَا يَعْلَمُهُمْ إِلَّا اللَّهُ} [إبراهيم: 9].
"Even if the memory of a man persists for a short period of time, would that in itself make him any different from those who lived in olden times in nations that have disappeared and of which the memory also persisted a short while before being completely lost?",فهل الإنسان وإن ذكر برهة من الدهر إلا كمن خلا قبل من الأمم الغابرة الذين ذكروا ثم نسوا جملة؟
"We should also think of those who were famous for their good deeds or their bad deeds; did their fame raise them one single degree in the sight of God? Did it win them a reward that they had not already won by their actions during their life? Since this is so, the desire to be famous is nothing but the desire for something absolutely senseless and useless.",ثم ليتفكر الإنسان في من ذكر بخير أو بشر هل يزيده ذلك عند الله عز وجل درجة أو يكسبه فضيلة لم يكن حازها بفعله أيام حياته فإذا كان هذا كما قلناه فالرغبة في الذكر رغبة غرور ولا معنى له ولا فائدة فيه أصلًا.
"On the contrary, a wise man should aspire only to multiply his virtues and good deeds, which make the one who applies himself to them merit a good reputation, praise, commendation and a praiseworthy reputation which will bring him nearer to his Creator and will be useful in remembering him to the Almighty. He will keep himself in this beneficial state and will never be lost for all eternity; assistance is from God.",لكن إنما ينبغي أن يرغب الإنسان العاقل في الاستكثار من الفضائل وأعمال البر التي يستحق من هي فيه الذكر الجميل والثناء الحسن والمدح وحميد الصفة. فهي التي تقر به من بارئه تعالى وتجعله مذكورًا عنده عز وجل الذكر الذي ينفعه ويحصل على بقاء فائدته ولا يبيد أبد الأبد وبالله تعالى التوفيق.
"Gratitude towards a benefactor is a necessary obligation. To fulfill it, you should at least render to him the good that he had done to you, and more. Afterwards you should show interest in his affairs, protect him as much as possible, keep faithfully to promises you have made him, in his life or after his death, and to his relations, both distant and close. Thus you should continue to show affection to him, to give him advice. You should make his good qualities known truthfully and you should conceal his faults. [These obligations lie upon you] for the rest of your life and should be handed down to your descendents and to those you love.",شكر المنعم فرض واجب وإنما ذلك بالمقارضة له بمثل ما أحسن فأكثر ثم بالتهمم بأموره وبالتأتي بحسن الدفاع عنه ثم بالوفاء له حيًا وميتًا ولمن يتصل به من ساقة وأهل كذلك؛ ثم بالتمادي على وده ونصيحته ونشر محاسنه بالصدق وطي مساويه ما دمت حيًا وتوريث ذلك عقبك وأهل ودك.
"However, it is no part of gratitude to assist someone is committing sin and not to advise him in the cases where he doing himself harm in this world and the next. On the deceiving him, denying his benefactions, acting unjustly in his respect and failing to recognize his goodness.",وليس من الشكر عونه على الآثام وترك نصيحته فيما يوتغ به دينه ودنياه بل من عاون من أحسن إليه على باطل فقد غشه وكفر إحسانه وظلمه وجحد إنعامه.
"Moreover, the goodness and benefactions of God towards each one of His creatures are much more considerable, more longstanding, more salutary than those of any other benefactor. Indeed, it is the Almighty who has opened our eyes to see, who has pierced our ears to hear, it is He who has granted us the other excellent senses and has endowed us with speech and discernment, two benefits by grace of which we have been made able to hear His words. He has subjected to our service everything which exists in the skies and upon the earth – stars and elements – and has placed none of His creatures above us, except only His holy angels, the inhabitants of the heavens. What are the gifts of men compared with these!",وأيضًا فإن إحسان الله تعالى وإنعامه على كل حال أعظم وأقدم وأهنأ من نعمة كل منعم دونه عز وجل فهو تعالى الذي شق لنا الأبصار الناظرة وفتق فينا الآذان السامعة ومنحنا الحواس الفاضلة ورزقنا النطق والتمييز اللذين بهما استأهلنا أن يخاطبنا وسخر لنا ما في السموات وما في الأرض من الكواكب والعناصر. ثم ولم يفضل علينا من خلقه شيئًا غير الملائكة المقدسين الذين هم عمار السموات فقط فأين تقع نعم المنعمين من هذه النعم!
"Anyone who imagines that he is thanking a benefactor by helping him to do evil, or by taking his side when he should not, would be denying the gifts of the greatest of his benefactors, whose gifts he would be failing to recognize. He would not be rendering thanks to Him to whom all thanks truly belong, he would not be praising Him who is the essence of praiseworthiness, that is to say, Allâh the Almighty. Anyone who steps between his benefactor and evil, leading him back to the bitter truth, would be showing true gratitude and would be fulfilling perfectly his obligation towards him. Praises be to God at first and at last and in all circumstances!",فمن قدر أنه يشكر محسنًا إليه بمساعدته على باطل أو بمحاباته فيما لا يجوز فقد كفر نعمة أعظم المنعمين وجحد إحسان أجل المحسنين إليه ولم يشكر ولي الشكر حقًا ولا حمد أهل الحمد أصلًا وهو الله عز وجل ومن حال بين المحسن إليه وبين الباطل وأقامه على مر الحق فقد شكره حقًا وأدى واجب حقه عليه مستوفى ولله الحمد أولًا وآخرًا وعلى كل حال.
XII) On the Way to Attend Study-Sessions,فصل في حضور مجالس العلم
"If you attend a study-session, behave only like someone who wishes to increase his knowledge and to win greater recompense from God. Do not behave like someone who is content with what he has, who is looking for some fault to criticise or a curious detail to hawk around. This would be the behaviour of vile men who never succeed in their studies.",إذا حضرت مجلس علم فلا يكن حضورك إلا حضور مستزيد علمًا وأجرًا لا حضور مستغن بما عندك طالبًا عثرة تشيعها أو غريبة تشنعها فهذه أفعال الأرذال الذين لا يفلحون في العلم أبدًا.
"If you come to it with good intentions, you will always obtain the best results. Otherwise, to stay at home would be less tiring for your body, more worthy of your moral conduct and more salutary for your religious life.",فإذا حضرتها على هذه النية فقد حصلت خيرًا على كل حال وإن لم تحضرها على هذه النية فجلوسك في منزلك أروح لبدنك وأكرم لخلقك وأسلم لدينك.
"If you do attend under the conditions that we have indicated, take care to adopt one of these three attitudes and there cannot be a fourth:",فإذا حضرتها كما ذكرنا فالتزم أحد ثلاثة أوجه لا رابع لها وهي:
"[First,] you may keep quiet in the silence of ignorance. Thus you will obtain the reward of your intention in attending the study-session, praise for your reserve, dignity in your behaviour and the friendship of those you mix with.",إما أن تسكت سكوت الجهال فتحصل على أجر النية في المشاهدة وعلى الثناء عليك بقلة الفضول وعلى كرم المجالسة ومودة من تجالس.
"[Secondly,] if you do not behave like this, ask the questions which someone would ask who wished to learn. Then you will obtain, in addition to the four advantages just mentioned, a fifth, which is to increase your knowledge.",فإن لم تفعل ذلك فاسأل سؤال المتعلم فتحصل على هذه الأربع محاسن وعلى خامسة وهي استزادة العلم.
"What characterizes the questions asked by someone who wishes to learn is that he only asks about the points he does not know, not those he does know. To ask about what one already knows is a proof of ineptitude and a weak spirit, it is only palaver and a useless waste of time for oneself and for others. By doing this you will only provoke dislike and it will only be pure verbiage.",وصفة سؤال المتعلم أن تسأل عما لا تدري لا عما تدري فإن السؤال عما تدريه سخف وقلة عقل وشغل لكلامك وقطع لزمانك بما لا فائدة فيه لا لك ولا لغيرك وربما أدى إلى اكتساب العداوات وهو بعد عين الفضول.
"So do not play games, it is a bad fault. If the person you are asking replies satisfactorily, stop questioning. If his reply is not satisfactory, or if you do not understand it, say to him, “I do not understand”, and ask him to elaborate. If he does not explain himself more clearly, if he keeps silent or if he repeats what he said before without adding anything, keep silent, otherwise you will only bring upon yourself trouble and dislike, without obtaining the desired enlightenment.",فيجب عليك أن لا تكون فضوليًا فإنها صفة سوء فإن أجابك الذي سألت بما فيه كفاية لك فاقطع الكلام وإن لم يجبك بما فيه كفاية أو أجابك بما لم تفهم فقل له لم أفهم واستزده فإن لم يزدك بيانًا وسكت أو أعاد عليك الكلام الأول ولا مزيد فأمسك عنه. وإلا حصلت على الشر والعداوة ولم تحصل على ما تريد من الزيادة.
"[Thirdly,] you can riposte as a scholar would, that is to say that you can reply to the arguments advanced in a way that refutes them clearly. If you are not capable of replying in this way, if you are able only to repeat yourself or to reply using arguments which your adversary will not find convincing, do not insist for you will not gain by your repetitions any extra result or any information. You will only succeed in annoying yourself and starting a hostility between the two of you which could have serious consequences.",والوجه الثالث أن تراجع مراجعة العالم وصفة ذلك أن تعارض جوابه بما ينقضه نقضًا بينًا فإن لم يكن ذلك عندك ولم يكن عندك إلا تكرار قولك أو المعارضة بما لا يراه خصمك معارضة فأمسك فإنك لا تحصل بتكرار ذلك على أجر ولا على تعليم ولا على تعلم بل على الغيظ لك ولخصمك والعداوة التي ربما أدت إلى المضرات.
"Guard against the questions that a prejudiced man would ask or the ripostes of a show-off who is bent on being right without knowing anything about the matter. These two attitudes are bad: they witness to absence of piety, a great tendency to verbiage, a weakness of spirit and considerable vanity. Let us commend the matter to God who is our best support.",وإياك وسؤال المعنت ومراجعة المكابر الذي يطلب الغلبة بغير علم فهما خلقا سوء دليلان على قلة الدين وكثرة الفضول وضعف العقل وقوة السخف وحسبنا الله ونعم الوكيل.
"If certain statements are put to you verbally, or if you come across a written text, guard against reacting violently, which will bring about excesses in language, before you have assured yourself by irrefutable proof that the ideas expressed are erroneous.",وإذا ورد عليك خطاب بلسان أو هجمت على كلام في كتاب فإياك أن تقابله مقابلة المغاضبة الباعثة على المغالبة قبل أن تتبين بطلانه ببرهان قاطع.
"Neither should you accept them with the enthusiasm of someone who is credulous and convinced until you have assured yourself of their veracity by an irrefutable proof. In the two cases, you would be shutting your eyes and turning away from knowing the truth.",وأيضًا فلا تقبل عليه إقبال المصدق به المستحسن إياه قبل علمك بصحته ببرهان قاطع فتظلم في كلا الوجهين نفسك وتبعد عن إدراك الحقيقة.
"On the contrary, consider what is being put to you as one would who is neither against it nor for it, one who wants to understand, to the best of his ability, what he has heard and read in order to increase his knowledge, to adopt the new ideas if they are good or reject them if they are erroneous. It is certain that if you behave like this you will be generally rewarded, greatly praised and your merit will be recognized.",ولكن أقبل عليه إقبال سالم القلب عن النزاع عنه والنزوع إليه إقبال من يريد حظ نفسه في فهم ما سمع ورأى فتزيد به علمًا وقبوله إن كان حسنًا أو رده إن كان خطأ فمضمون لك إن فعلت ذلك الأجر الجزيل والحمد الكثير والفضل العميم.
"A man who is content with the small fortune that he has and does not envy your opulence is as rich as you, even if you are a Croesus. If this man resists the bait of gain to which you have succumbed, he will be much richer than you.",من اكتفى بقليله عن كثير ما عندك فقد ساواك في الغنى ولو أنك قارون حتى إذا تصاون في الكسب عما تشره أنت إليه فقد حصل أغنى منك بكثير.
