The History of al-Tabari,تاريخ الطبري
"After Damascus, they made the journey to Sa‘d.","وَضَرَبُوا بَعْدَ دِمَشْقَ نَحْوَ سَعْدٍ،"
Hashim set out for Iraq with the Iraqi forces.,"فَخَرَجَ هَاشِمٌ نَحْوَ الْعِرَاقِ فِي جُنْدِ الْعِرَاقِ، "
The commanders set off toward Fihl.,وَخَرَجَ الْقُوَّادُ نحو فحل
"Hashim's troops were ten thousand, except for those who had been lost, so that they made up their total from others who had not been of them [originally], among them Qays and al-Ashtar.","وَأَصْحَابُ هَاشِمٍ عَشَرَةُ آلافٍ إِلا مَنْ أُصِيبَ مِنْهُمْ، فَأَتَمُّوهُمْ بِأُنَاسٍ مِمَّنْ لَمْ يَكُنْ مِنْهُمْ، وَمِنْهُمْ قَيْسٌ وَالأَشْتَرُ،"
"‘Alqamah and Masruq set out for Jerusalem, encamping on the way to it.","وَخَرَجَ عَلْقَمَةُ وَمَسْرُوقٌ إِلَى إِيلِيَاءَ، فَنَزَلا عَلَى طَرِيقِهَا،"
"At Damascus, a number of the leaders of the Yemenis remained with Yazid b. Abi Sufyan, including ‘Amr b. Shimr b. Ghaziyyah, Sahm b. alMusafir b. Hazmah, and Mushafi' b. ‘Abdallah b. Shafi'.","وَبَقِيَ بِدِمَشْقَ مَعَ يَزِيدَ بْنِ أَبِي سُفْيَانَ مِنْ قُوَّادِ أَهْلِ الْيَمَنِ عَدَدٌ، مِنْهُمْ عَمْرُو بْنُ شِمْرِ بْنِ غَزِيَّةَ، وَسَهْمُ بْنُ الْمُسَافِرِ بْنِ هَزْمَةَ، وَمُشَافِعُ ابن عَبْدِ اللَّهِ بْنِ شَافِعٍ"
"After Damascus had been captured, Yazid sent Dihyah b. Khalifah al-Kalbi with cavalry to Tadmur and Abu al-Zahra5 al-Qushayrito al-Bathaniyyah and Hawran.","وَبَعَثَ يَزِيدُ دِحْيَةَ بْنَ خَلِيفَةَ الْكَلْبِيَّ فِي خَيْلٍ بَعْدَ مَا فَتَحَ دِمَشْقَ إِلَى تَدْمُرَ، وَأَبَا الزَّهْرَاءِ الْقُشَيْرِيَّ إِلَى الْبَثَنِيَّةِ وَحَوْرَانَ، "
The inhabitants made peace agreements with both of them according to the peace agreement of Damascus.,"فَصَالَحُوهُمَا عَلَى صُلْحِ دِمَشْقٍ،"
The two of them took charge of conquering the lands to which they were sent.,وَوَلِيَا الْقِيَامَ عَلَى فَتْحِ مَا بُعِثَا إِلَيْهِ.
Muhammad b. Ishaq: The capture of Damascus occurred in the year 14 in Rajab (21 August-19 September 635).,وَقَالَ مُحَمَّدُ بْنُ إِسْحَاقَ: كَانَ فَتْحُ دِمَشْقَ فِي سَنَةِ أَرْبَعَ عَشْرَةَ فِي رَجَبٍ 
"Also, the Battle of Fihl happened before [the capture of] Damascus, for only the rejectionists of Fihl went to Damascus, to which the Muslims pursued them.","وَقَالَ أَيْضًا: كَانَتْ وَقْعَةُ فِحْلَ قَبْلَ دِمَشْقَ، وَإِنَّمَا صَارَ إِلَى دِمَشْقَ رَافِضَةُ فِحْلَ، وَاتَّبَعَهَمُ الْمُسْلِمُونَ إِلَيْهَا"
"(He claims that) the Battle of Fihl occurred in the year 13, in Dhu al-Qacdah (27 December 634-25 January 635) of it.","وَزَعَمَ أَنَّ وَقْعَةَ فِحْلَ كَانَتْ سَنَةَ ثلاث عشره فِي ذِي الْقَعْدَةَ مِنْهَا،"
IbnHumayd—Salamah—Ibn Ishaq: Thus.,"حَدَّثَنَا بِذَلِكَ ابْنُ حُمَيْدٍ، قَالَ: حَدَّثَنَا سَلَمَةُ، عَنْهُ."
"As for al-Waqidi, he claims that the capture of Damascus occurred in the year 14, as Ibn Ishaq stated.","وَأَمَّا الْوَاقِدِيُّ: فَإِنَّهُ زَعَمَ أَنَّ فَتْحَ دِمَشْقَ كَانَ فِي سنه اربع عشره، كَمَا قَالَ ابْنُ إِسْحَاقَ"
He also claims that the Muslims' siege of it lasted six months.,وَزَعَمَ أَنَّ حِصَارَ الْمُسْلِمِينَ لَهَا كَانَ سِتَّةَ أَشْهُرٍ
He further claims that the Battle of the Yarmuk happened in the year 15.,"وَزَعَمَ أَنْ وقعه اليرموك كانت في سنه خمس عشره،"
"He claims that Herakleios pulled back in this year after the Battle of the Yarmuk, in Sha‘ban (8 September-6 October 636), from Antioch to Constantinople, aid that there was no battle after al-Yarmuk.","وَزَعَمَ أَنَّ هِرَقْلَ جَلا فِي هَذِهِ السَّنَةِ بَعْدَ وَقْعَةِ الْيَرْمُوكِ فِي شَعْبَانَ مِنْ أَنْطَاكِيَةَ إِلَى قُسْطَنْطِينِيَّةَ، وَأَنَّهُ لَمْ يَكُنْ بَعْدَ الْيَرْمُوكِ وَقْعَةٌ."
"Abu Jafar: I have previously noted what has been related from Sayf from those he transmitted from, that the Battle of al-Yarmuk fell in the year 13, that the post came to the Muslims at al-Yarmuk with (the news of] Abu Bakr's death on the very day on which, late in it, the Romans were defeated, and that Umar commanded them, after they were finished with al-Yarmuk, to go to Damascus.","قَالَ أَبُو جَعْفَرٍ: وَقَدْ مَضَى ذِكْرِي مَا رُوِيَ عَنْ سَيْفٍ، عَمَّنْ رَوَى عَنْهُ، أَنَّ وَقْعَةَ الْيَرْمُوكِ كَانَتْ فِي سَنَةِ ثَلاثَ عَشَرَةَ، وَأَنَّ الْمُسْلِمِينَ وَرَدَ عَلَيْهِمُ الْبَرِيدُ بِوَفَاةِ ابى بكر باليرموك، في الْيَوْمِ الَّذِي هُزِمَتِ الرُّومُ فِي آخِرِهِ، وَأَنَّ عُمَرَ أَمَرَهُمْ بَعْدَ فَرَاغِهِمْ مِنَ الْيَرْمُوكِ بِالْمَسِيرِ الى دمشق،"
"He claims that Fihl was after Damascus and that there were battles after that between the Muslims and the Romans besides that [one], before Herakleios went away to Constantinople.","وزعم ان فحلا كَانَتْ بَعْدَ دِمَشْقَ، وَأَنَّ حُرُوبًا بَعْدَ ذَلِكَ كَانَتْ بَيْنَ الْمُسْلِمِينَ وَالرُّومِ سِوَى ذَلِكَ، قَبْلَ شُخُوصِ هِرَقْلَ إِلَى قُسْطَنْطِينِيَّةَ، "
"I will relate them, God willing, in their [appropriate] places.",سَأَذْكُرُهَا إِنْ شَاءَ اللَّهُ فِي مَوَاضِعِهَا.
"In this year, I mean the year 13, Umar b. al-Khaftab dispatched Abu ‘Ubayd b. Mas‘ud al-Thaqafi to Iraq, where he perished, according to al-Waqidi.",وَفِي هَذِهِ السَّنَةِأَعْنِي سَنَةَ ثَلاثَ عَشْرَةَوَجَّهَ عُمَرُ بْنُ الْخَطَّابِ أبا عبيد ابن مَسْعُودٍ الثَّقَفِيَّ نَحْوَ الْعِرَاقِ وَفِيهَا اسْتُشْهِدَ فِي قول الواقدى 
"But according to Ibn Ishaq: The Day of the Bridge, the Bridge of Abu ‘Ubayd b. Mas'ud al-Thaqafi, occurred in the year 14.","وَأَمَّا ابْنُ إِسْحَاقَ، فَإِنَّهُ قَالَ: كَانَ يَوْمُ الجسر، جسر ابى عبيد بن مسعود الثقفى في سنه اربع عشره."
The Affair of Fihl According to Sayf,ذكر أمر فحل من رواية سيف:
"Abu Ja'far: At this point, we will relate the matter of Fihl, though the report that relates it contains the differences of opinion that I have mentioned regarding the conquests of the army of Syria.",قال أبو جعفر: ونذكر الآن أمر فحل إذ كان في الخبر الذي فيه من الاختلاف ما ذكرت من فتوح جند الشام
"In fact, among the disagreeable aspects [of this study] is the occurrence of such a difference as the one I have noted about the date of this battle, [a difference that arose] because of the nearness [in time] of some of those [battlesj to others.","ومن الأمور التي تستنكر وقوع مثل الاختلاف الذي ذكرته في وقته، لقرب بعض ذلك من بعض."
"As for what Ibn Ishaq has related about that and told its story, it has already been mentioned.","فأما ما قال ابن إسحاق من ذلك وقص من قصته، فقد تقدم ذكريه قبل"
"But as for [Sayf, see as follows], Al-Sari—Shu'ayb—Sayf—Abu 'Uthman Yazid b. Asid al-Ghassani and Abu Harithah al-'Abshami:","واما السرى فانه فِيمَا كَتَبَ بِهِ إِلَيَّ، عَنْ شُعَيْبٍ، عَنْ سَيْفٍ، عن أبي عثمان يزيد بن أسيد الغساني وأبي حارثة العبشمي، قالا:"
"After the capture of Damascus, the army left Yazid b. Abi Sufyan behind with cavalry in Damascus while they went on toward Fihl under the command of Shurahbil b. Hasanah.","خلف الناس بعد فتح دمشق يزيد بْن أبي سفيان في خيله في دمشق، وساروا نحو فحل، وعلى الناس شرحبيل بْن حسنة،"
"He sent forth Khalid in command of his vanguard, Abu 'Ubaydah and 'Amr in charge of his two wings, Dirar b. al-Azwar in charge of the cavalry, and 'Iyad in command of the infantry.","فبعث خالدا على المقدمة وأبا عبيدة وعمرا على مجنبتيه، وعلى الخيل ضرار بْن الأزور، وعلى الرجل عياض، "
They did not like going against Herakleios while eighty thousand [of the enemy) were behind them.,"وكرهوا أن يصمدوا لهرقل، وخلفهم ثمانون ألفا،"
"They knew that those before Filjl were the shield of the Romans, who were looking to them, and that Syria would [surrender] peacefully after they [were defeated].","وعلموا أن من بإزاء فحل جنة الروم وإليهم ينظرون، وأن الشام بعدهم سلم"
"When they reached Abu al-A'war, they sent him forward to Tiberias, so that he besieged its forces, which then went to Fihl in al-Urdunn.","فلما انتهوا إلى أبي الأعور، قدموه إلى طبرية، فحاصرهم ونزلوا على فحل من الأردن،"
"When Abu al-A'war had descended on the forces of Fihl, they withdrew to Baysan.",وقد كان أهل فحل حين نزل بهم أبو الأعور تركوه وأرزوا إلى بيسان
"After this, Shurahbil encamped at Fihl, while the Romans were at Baysan.","فنزل شرحبيل بالناس فحلا، والروم بيسان، "
Between them and the Muslims lay those waters and mires.,"وبينهم وبين المسلمين تلك المياه والأوحال، "
"They wrote to 'Umar with the news while telling themselves to stay, for they did not want to depart from Fihl until the reply to their letter came back to them from 'Umar.","وكتبوا إلى عمر بالخبر، وهم يحدثون انفسهم بالمقام، ولا يريدون ان يريموا فحلا حتى يرجع جواب كتابهم من عند عمر،"
Nor could they advance against their enemy (from) where they were because of the mires that lay between them.,"ولا يستطيعون الإقدام على عدوهم في مكانهم لما دونهم من الأوحال، "
"The Arabs named that campaign Fihl, Dhat al-Radaghah, and Baysan.",وكانت العرب تسمي تلك الغزاة فحلا وذات الردغة وبيسان 
The Muslims found in the countryside better than that which the polytheists enjoyed.,"وأصاب المسلمون من ريف الأردن أفضل مما فيه المشركون، "
"Their supplies were continuous and their pasturage luxuriant, which made them negligent of the enemy.","مادتهم متواصلة، وخصبهم رغد، فاغترهم القوم، "
Saqallar b. Mikhraq commanded the enemy.,"وعلى القوم سقلار بن مخراق،"
"Hoping that the Muslims would be caught unawares, they came against them, but the Muslims had not felt secure from [the possibility of] their attacking, which put them in a state of alert.","ورجوا ان يكونواعلى غره، فاتوهم والمسلمون لا يأمنون مجيئهم، فهم على حذر "
Shurahbil neither went to sleep for the night nor awoke in the morning except that he was in battle formation.,وكان شرحبيل لا يبيت ولا يصبح إلا على تعبئة 
"When the Romans made for the Muslims, they came on them unexpectedly and were not equal to them.","فلما هجموا على المسلمين غافصوهم، فلم يناظروهم، "
"At Fihl, the Romans fought the like of the hardest battle they had ever fought at night and at day until the [second] night.","واقتتلوا بفحل كأشد قتال اقتتلوه قط ليلتهم ويومهم إلى الليل، "
"When the night brought darkness upon them, as they had lost their way, they were defeated while they were lost.","فأظلم الليل عليهم وقد حاروا، فانهزموا وهم حيارى "
"Their chief, Saqallar b. Mikhraq, was struck down.","وقد أصيب رئيسهم سقلار بن مخراق،"
The one who was next to him [in command] among them was Nasjurus.,"والذي يليه فيهم نسطورس،"
The Muslims won the best and most beneficial triumph.,"وظفر المسلمون أحسن ظفر وأهنأه،"
"They then rode after the Romans, believing that the enemy had a direction and a hard, even ground [through which to escape].","وركبوهم وهم يرون أنهم على قصد وجدد،"
"But they found the Romans to be lost, not knowing what direction to take.","فوجدوهم حيارى لا يعرفون مأخذهم، "
"Their defeat and their being lost delivered them to the mud, which they rode into.","فأسلمتهم هزيمتهم وحيرتهم إلى الوحل، فركبوه، "
"When the first of the Muslims caught up with them, they had become mired; thus, the Muslims bore down on them.","ولحق أوائل المسلمين بهم، وقد وحلوا فركبوهم، "
No imploring hand restrained them as they ran them through with spears.,"وما يمنعون يد لامس، فوخزوهم بالرماح،"
This was the [real] defeat at Fihl: their deaths were in the heavy mud.,"فكانت الهزيمة في فحل، وكان مقتلهم في الرداغ،"
"Eighty thousand were struck down,none escaped except the [occasional] fugitive.","فأصيب الثمانون ألفا، لم يفلت منهم إلا الشريد، "
"God was acting for the Muslims even though they disliked it: they disliked the flooding, but it turned out to be a help to them against their enemy and an overwhelming burden [on them] from God, so that they might increase in insight and earnest purpose.","وكان اللَّه يصنع للمسلمين وهم كارهون، كرهوا البثوق فكانت عونا لهم على عدوهم، وأناة من اللَّه ليزدادوا بصيرة وجدا، "
They divided among themselves the spoils that God had given to them.,"واقتسموا ما أفاء اللَّه عليهم، "
Abu 'Ubaydah went off with Khalid from Fihl toHims.,"وانصرف أبو عبيدة بخالد من فحل إلى حمص، "
"They also took Samir b. Ka‘b away with them and departed with Dhu al-Kala' and those with him, leaving behind Shurahbil and his forces.","وصرفوا سمير بْن كعب معهم، ومضوا بذي الكلاع ومن معه، وخلفوا شرحبيل ومن معه"
Baysan,ذكر بيسان
"When Shurahbil was finished with Fihl, he marched with his forces, including ‘Amr, against the forces at Baysan, descending on them while Abu al-A‘war and the commanders with him were besieging Tiberias.","ولما فرغ شرحبيل من وقعة فحل نهد في الناس ومعه عمرو إلى أهل بيسان، فنزلوا عليهم، وأبو الأعور والقواد معه على طبرية،"
"The news had reached the various regions of al-Urdunn about the (fate) Damascus had met and what Saqallar and the Romans had met at Fihl and in the heavy mud, as well as the march of Shurahbil against them, along with ‘Amr, al-Harith b. Hisham, and Suhayl b. ‘Amr, heading for Baysan.","وقد بلغ أفناء أهل الأردن ما لقيت دمشق، وما لقي سقلار والروم بفحل وفي الردغة، ومسير شرحبيل إليهم، ومعه عمرو بْن العاص والحارث بْن هشام وسهيل بْن عمرو، يريد بيسان،"
The Romans fortified themselves in every place. Shurahbil led the troops against the forces at Baysan.,"وتحصنوا بكل مكان، فسار شرحبيل بالناس إلى أهل بيسان، "
"They besieged them for some days, then the Romans came out against them.",فحصروهم أياما ثم إنهم خرجوا عليهم 
"The Muslims fought them, killing those who had come out against them, and then made a peace agreement with the rest of the forces there.","فقاتلوهم، فأناموا من خرج إليهم، وصالحوا بقية أهلها "
That was accepted according to the Damascus peace agreement.,فقبل ذلك على صلح دمشق 
Tiberias,طبرية
"When the news reached the people of Tiberias, they made a peace agreement with Abu al-A'war on the condition that he take them to Shurabbil.","وبلغ أهل طبرية الخبر، فصالحوا أبا الأعور، على أن يبلغهم شرحبيل، "
"He did so, so that the Muslims made peace with them and the people of Baysan according to the Damascus peace agreement.","ففعل، فصالحوهم وأهل بيسان على صلح دمشق،"
"By this they would share their dwellings in the cities and those surrounding areas belonging to them with the Muslims, leaving half to the latter whereas they would collect in the other half.","على أن يشاطروا المسلمين المنازل في المدائن، وما أحاط بها مما يصلها، فيدعون لهم نصفا، ويجتمعون في النصف الآخر،"
A dinar had to be paid for every person annually.,"وعن كل رأس دينار كل سنة،"
"For every jarib of land a jarib of wheat or barley had to be paid, whichever of those had been planted.","وعن كل جريب أرض جريب بر أو شعير، أي ذلك حرث،"
"There were [other] items in that [agreement], which they stipulated as conditions for peace.","وأشياء في ذلك صالحوهم عليها،"
"While the leaders and their horse settled in, as the peace terms for al-Urdunn were carried out, the reinforcements scattered in the cities of al-Urdunn and its villages.","ونزلت القواد وخيولهم فيها، وتم صلح الأردن، وتفرقت الأمداد في مدائن الأردن وقراها،"
A letter about the conquest was dispatched to ‘Umar.,وكتب إلى عمر بالفتح
Al-Muthanna b. Harithah and Abu  Ubayd b. Mas'ud,ذكر خبر المثنى بْن حارثة وأبي عبيد بن مسعود
"Al-Sari—Shu'ayb—Sayf b. ‘Umar—Muhammad b. ‘Abdallah b. Sawad, Talhah b. al-A‘lam, and Ziyad b. Sarjis, according to their isnad:","كتب إلي السري، عن شعيب، عَنْ سَيْفِ بْنُ عُمَرَ، عَنْ مُحَمَّدِ بْنِ عَبْدِ اللَّهِ بْنِ سَوَّادٍ وَطَلْحَةَ بْنِ الأَعْلَمِ وَزِيَادَ بْنِ سَرْجِسَ الأَحْمَرِيِّ بِإِسْنَادِهِمْ، قَالُوا:"
The first thing ‘Umar did was to summon the men with alMuthanna b. Harithah al-Shaybani to fight the Persians before the dawn worship on the night on which Abu Bakr died.,"أَوَّلُ مَا عَمِلَ بِهِ عُمَرُ أَنْ نَدَبَ النَّاسَ مَعَ الْمُثَنَّى بْنِ حَارِثَةَ الشَّيْبَانِيِّ إِلَى أَهْلِ فَارِسَ قَبْلَ صَلاةِ الْفَجْرِ، مِنَ اللَّيْلَةِ الَّتِي مَاتَ فِيهَا أَبُو بَكْرٍ رَضِيَ اللَّهُ عَنْهُ،"
"Then, when he arose, the people rendered the oath of allegiance, whereupon he repeated his call to the men to fight Persia.","ثُمَّ أَصْبَحَ فَبَايَعَ النَّاسَ، وَعَادَ فَنَدَبَ النَّاسَ إِلَى فَارِسَ،"
The people came in succession to give the oath of allegiance.,وَتَتَابَعَ النَّاسُ عَلَى الْبَيْعَةِ
"They finished in three days; every day, he would summon them, but no one would heed the call to go against Persia.","فَفَرَغُوا فِي ثَلاثٍ، كُلَّ يَوْمٍ يَنْدُبُهُمْ فَلا يَنْتَدِبُ أَحَدٌ إِلَى فَارِسَ،"
"The Persian front was among the most disliked and difficult of the warfronts for them, because of the strength of the Persians' sovereignty, their military force, their might, and their subjection of the nations.","وَكَانَ وَجْهُ فَارِسَ مِنْ أَكْرَهِ الْوُجُوهِ إِلَيْهِمْ وَأَثْقَلِهَا عَلَيْهِمْ، لِشِدَّةِ سُلْطَانِهِمْ وَشَوْكَتِهِمْ وَعِزِّهِمْ وَقَهْرِهِمُ الأُمَمَ "
"When it was the fourth day, ‘Umar repeated his summons to the men to [go to] Iraq.","قَالُوا: فَلَمَّا كَانَ الْيَوْمُ الرَّابِعُ، عَادَ فَنَدَبَ النَّاسَ إِلَى الْعِرَاقِ"
"The first to respond to the summons were Abu ‘Ubayd b. Mas‘ud and Sa‘d b. ‘Ubayd al-An§ari, the confederate-of the Banu Fazarah, who had fled on the Day of the Bridge.","فَكَانَ أَوَّلُ مُنْتَدَبٍ أَبُو عُبَيْدِ بْنُ مَسْعُودٍ وَسَعْدُ بْنُ عُبَيْدٍ الأَنْصَارِيُّ حَلِيفُ بَنِي فَزَارَةَ، هَرَبَ يَوْمَ الْجِسْرِ،"
"After that, [various] fronts were offered to him, but he refused [any] but Iraq, saying, ""God, be He Exalted and Mighty, has counted [my] flight there against me, but it may be that He will bring me back to the attack in it.""","فَكَانَتِ الْوُجُوهُ تُعْرَضُ عَلَيْهِ بَعْدَ ذَلِكَ، فَيَأْبَى إِلا الْعِرَاقَ، وَيَقُولُ: إِنَّ اللَّهَ جَلَّ وَعَزَّ اعْتَدَّ عَلَيَّ فِيهَا بِفَرَّةٍ، فَلَعَلَّهُ أَنْ يَرُدَّ عَلَيَّ فِيهَا كَرَّةً"
"After this, the people came one after another [to volunteer].",وَتَتَابَعَ النَّاسُ.
Al-Sari b. Yahya—Shu'ayb—Sayf—Sahl b. Yusuf—al-Qasim b. Muhammad:,"كَتَبَ إِلَيَّ السَّرِيُّ بْنُ يَحْيَى، عَنْ شُعَيْبٍ، عَنْ سَيْفٍ، عَنْ سَهْلِ بْنِ يوسف، عَنِ الْقَاسِمِ بْنِ مُحَمَّدٍ، قَالَ:"
"Al-Muthanna b. Harithah spoke, saying, ""O people, this front is not at all too great for you, for we have gone through the middle of the countryside of Persia and wrested the best two parts of the Sawad from them, dividing it equally with them and attaining [our goal] at their expense.","وَتَكَلَّمَ الْمُثَنَّى بن حارثة، فقال:يا ايها النَّاسُ، لا يَعْظُمَنَّ عَلَيْكُمْ هَذَا الْوَجْهُ، فَإِنَّا قَدْ تَبَحْبَحْنَا رِيفَ فَارِسَ، وَغَلَبْنَاهُمْ عَلَى خَيْرٍ شِقَّيِ السَّوَادِ وَشَاطَرْنَاهُمْ وَنِلْنَا مِنْهُمْ، "
"Those who went before us took risksagainst them, and it will have, God willing, what comes after it.""","وَاجْتَرَأَ مَنْ قِبَلِنَا عَلَيْهِمْ، وَلَهَا إِنْ شَاءَ اللَّهُ مَا بَعْدَهَا"
"'Umar also stood up among the people to say, The Hijaz is not a home for you except for foraging; its in-habitants do not survive in it except by that.","وَقَامَ عُمَرُ رَحِمَهُ اللَّهُ فِي النَّاسِ، فَقَالَ: إِنَّ الْحِجَازَ لَيْسَ لَكُمْ بِدَارٍ إِلا عَلَى النُّجْعَةِ، وَلا يَقْوَى عَلَيْهِ أَهْلُهُ إِلا بِذَلِكَ،"
Where are the impulsive migrants for the sake of God's promise?.,أَيْنَ الطُّرَّاءُ الْمُهَاجِرُونَ عَنْ مَوْعُودِ اللَّهِ!
"Travel in the land that God has promised you in the Book to make you heirs to, for He has said, ""That he may make it [Islam] triumph over all religion.""","سِيرُوا فِي الأَرْضِ الَّتِي وَعَدَكُمُ اللَّهَ فِي الْكِتَابِ أَنْ يُورِثَكُمُوهَا، فَإِنَّهُ قَالَ: «لِيُظْهِرَهُ عَلَى الدِّينِ كُلِّهِ*»،"
"God is the One who grants victory to His religion, strengthens His helper, and commits to His people of the inheritances of the nations.","وَاللَّهُ مُظْهِرٌ دِينَهُ، وَمُعِزٌّ نَاصِرَهُ، وَمُوَلِّي أَهْلَهُ مَوَارِيثَ الأُمَمِ"
"Where are the righteous worshippers of God?"".",أَيْنَ عِبَادُ اللَّهِ الصَّالِحُونَ!
The first to answer the call was Abu 'Ubayd b. Mas'ud.,"فَكَانَ أَوَّلُ مُنْتَدَبٍ أَبُو عُبَيْدِ بْنُ مَسْعُودٍ،"
Then the second was Sa'd b. 'Ubayd or Salit b. Qays.,ثُمَّ ثنى سعد بن عبيدا و سليط ابن قَيْسٍ
"When that expedition had gathered, it was suggested to ‘Umar, ""Put a man from among the early Muslims of the Muhajirun and the Ansar in command of them.""","فَلَمَّا اجْتَمَعَ ذَلِكَ الْبَعْثُ، قِيلَ لِعُمَرَ: أَمِّرْ عَلَيْهِمْ رَجُلا مِنَ السَّابِقِينَ مِنَ الْمُهَاجِرِينَ وَالأَنْصَارِ"
"‘Umar answered, No, by God, I will not do so.","قَالَ: لا وَاللَّهِ لا أَفْعَلُ،"
God has exalted you only owing to your priority [in Islam] and your hastening against the enemy.,"إِنَّ اللَّهَ إِنَّمَا رَفَعَكُمْ بِسَبْقِكُمْ وَسُرْعَتِكُمْ إِلَى الْعَدُوِّ،"
"But if you become fainthearted and dislike encoun tering [the enemy in battle], then those who preceded you in repelling [the enemy] and answered the summons are more deserving of the leadership.","فإذا جبنتم وكرهتم اللقاء، فاولى بالرئاسة مِنْكُمْ مَنْ سَبَقَ إِلَى الدَّفْعِ، وَأَجَابَ إِلَى الدُّعَاءِ! "
"By God, I will not give command of you to anyone but the first of you to answer the summons.",وَاللَّهِ لا أُؤَمِّرُ عَلَيْهِمْ إِلا أَوَّلَهُمُ انْتِدَابًا.
"Thereupon, he called Abu ‘Ubayd, Salit, and Sa'd, saying [to the latter two], ""As for the two of you, had you preceded him, I would have put you in charge and you would thereby have obtained what is yours by seniority.""","ثُمَّ دَعَا أَبَا عُبَيْدٍ، وَسُلَيْطًا وَسَعْدًا، فَقَالَ: أَمَّا إِنَّكُمَا لَوْ سَبَقْتُمَاهُ لَوَلَّيْتُكُمَا وَلأَدْرَكْتُمَا بِهَا إِلَى مَا لَكُمَا مِنَ الْقُدْمَةِ"
"He made Abu ‘Ubayd the commander of the army. He said to Abu ‘Ubayd, ""Listen to the Companions of the Prophet, making them partners in the matter.","فَأَمَّرَ أَبَا عُبَيْدٍ عَلَى الْجَيْشِ، وَقَالَ لأَبِي عُبَيْدٍ: اسمع من اصحاب النبي ص وَسَلَّمَ، وَأَشْرِكْهُمْ فِي الأَمْرِ،"
"Do not launch an of-fensive campaign hastily until you have ascertained the facts and [see] it is war, for only a coolheaded man who knows opportunity and restraint will do well in war.""","وَلا تَجْتَهِدْ مُسْرِعًا حَتَّى تَتَبَيَّنَ، فَإِنَّهَا الْحَرْبُ، وَالْحَرْبُ لا يُصْلِحُهَا إِلا الرَّجُلُ الْمَكِيثُ الَّذِي يَعْرِفُ الْفُرْصَةَ وَالْكَفَّ"
"A man from the Ansar: ‘Umar said to Abu Ubayd, ""Nothing has kept me from making Salit the commander except for his hastening to war, for whoever hastens to war is lost, unless with clear reason.","وَقَالَ رَجُلٌ مِنَ الأَنْصَارِ: قَالَ عُمَرُ رَضِيَ اللَّهُ عَنْهُ لأَبِي عُبَيْدٍ: إِنَّهُ لَمْ يَمْنَعْنِي أَنْ أُؤَمِّرَ سُلَيْطًا إِلا سُرْعَتُهُ إِلَى الْحَرْبِ، وَفِي التَّسَرُّعِ إِلَى الْحَرْبِ ضَيَاعٌ إِلا عَنْ بَيَانٍ،"
"By God, if not for his haste, I would have made him the commander, but only the coolheaded does well for war.""","وَاللَّهِ لَوْلا سُرْعَتُهُ لأَمَّرْتُهُ، وَلَكِنَّ الْحَرْبَ لا يُصْلِحُهَا إِلا الْمَكِيثُ. "
Al-Sari b. Yahya—Shucayb b. Ibrahim—Sayf b. Umar—al-Mujalid—al-Shacbi:,"كَتَبَ إِلَيَّ السَّرِيُّ بْنُ يَحْيَى، عَنْ شُعَيْبِ بْنِ إِبْرَاهِيمَ، عَنْ سَيْفِ بْنِ عُمَرَ، عَنِ الْمُجَالِدِ، عَنِ الشَّعْبِيِّ، قَالَ:"
Al-Muthanna b. Harithah came to Abu Bakr in the year 13.,"قَدِمَ الْمُثَنَّى بْنُ حَارِثَةَ عَلَى أَبِي بَكْرٍ سَنَةَ ثَلاثَ عَشْرَةَ،"
"He sent him off with troops whom he summoned three times without anyone heeding his call until Abu Ubayd answered it, then Sa‘d b. Ubayd.","فَبَعَثَ مَعَهُ بَعْثًا قَدْ كَانَ نَدَبَهُمْ ثَلاثًا، فَلَمْ يَنْتَدِبْ لَهُ أَحَدٌ حَتَّى انْتَدَبَ لَهُ أَبُو عُبَيْدٍ ثُمَّ سَعْدُ بْنُ عُبَيْدٍ،"
"When he answered the call, Abu Ubayd said, ""I am for it.""","وَقَالَ أَبُو عُبَيْدٍ حِينَ انتدب:أَنَا لَهَا،"
"Sacd then said, ""I am for it,"" because of a deed he had done.","وَقَالَ سَعْدٌ: أَنَا لَهَا، لفعلة فَعَلَهَا"
Salit also spoke.,وَقَالَ سُلَيْطٌ:
"It was suggested to ‘Umar, ""Make their commander a man from among the Companions.""","فَقِيلَ لِعُمَرَ: أَمِّرْ عَلَيْهِمْ رَجُلا لَهُ صُحْبَةٌ،"
"Umar replied, ""The Companions excel [others] only in their hastening against the enemy and their fulfilling the responsibilities of those who are slow.","فَقَالَ عُمَرُ: إِنَّمَا فُضَّلَ الصَّحَابَةُ بِسُرْعَتِهِمْ إِلَى الْعَدُوِّ وَكِفَايَتِهِمْ مَنْ أَبَى،"
"If a group did as they have done and found it too burdensome [to campaign], then those who heed the summons [to war], whether lightly or heavily armed, are more deserving of the command than they.","فَإِذَا فَعَلَ فِعْلَهُمْ قَوْمٌ وَاثَّاقَلُوا كَانَ الَّذِينَ يَنْفِرُونَ خِفَافًا وَثِقَالا أَوْلَى بِهَا مِنْهُمْ، "
"By God, I am going to send out only the first to heed the call to be in charge of them.""",وَاللَّهِ لا أَبْعَثُ عَلَيْهِمْ إِلا أَوَّلَهُمُ انْتِدَابًا 
